	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000187742.15	626.730336270788	1.845079911485546	0.1785275524593138	10.33498687495891	4.894791014221487e-25	4.387131260460801e-24
ENSG00000145022.5	296.63116503739815	1.9590760921015724	0.23344891870212225	8.391883342159865	4.7841550761814054e-17	2.4245386872344213e-16
ENSG00000132554.21	57.242678243218634	1.2522228643495643	0.4187430133978285	2.9904328532877154	0.002785823701313274	0.004179401698239953
ENSG00000081189.17	20.103595007226332	-3.611798745508874	0.4525524484835973	-7.980950622654255	1.452105518343822e-15	6.679259546986172e-15
ENSG00000169495.5	322.94041214671034	2.797710734473976	0.24190685426042755	11.565239616824039	6.181848232596717e-31	7.75698316226236e-30
ENSG00000203993.7	125.26581628883359	0.01003745047211437	0.3905954416019995	0.02569781774960424	0.9794983644670511	0.982002674762908
ENSG00000226779.1	1083.4203331984795	-5.477682356601836	0.6153972566216832	-8.901050983997566	5.532033878020033e-19	3.274337787801668e-18
ENSG00000110171.21	90.48081153509607	3.213317554522811	0.27608724921436884	11.638775653952132	2.61745965163091e-31	3.351416704965781e-30
ENSG00000198833.7	82.46476449196163	-5.979721826657335	0.4893335591903893	-12.220134332398715	2.426833644277287e-34	3.66008516447012e-33
ENSG00000289332.2	34.269990854865	3.260820531113381	0.7693492699827099	4.238413758664727	2.251046221057212e-05	4.2667867042033077e-05
ENSG00000152465.18	99.16087884517174	2.169237361765922	0.25246642276301506	8.592181637564293	8.533334928380581e-18	4.560318853548532e-17
ENSG00000139899.11	50.43369617175347	-0.5774312150743911	0.3268861519565089	-1.7664597035337746	0.07731875632817342	0.09507994457133674
ENSG00000050426.16	18.335758091972753	-1.6533335195986578	0.3918868464515485	-4.218905366610896	2.4549127840074066e-05	4.619712899478845e-05
ENSG00000289440.1	40.34109829010941	-0.7727456865952412	0.3174425131397882	-2.434285436289237	0.014921223343936215	0.020289500489782362
ENSG00000273361.1	91.60618019435177	2.7314354644101893	0.32960661927399315	8.286955736588592	1.1618385000660552e-16	5.730640526269206e-16
ENSG00000293360.1	169.90347589856978	0.9550055129311029	0.15905580449486192	6.0042166707720055	1.922578198405572e-09	5.4236760866891e-09
ENSG00000162676.13	106.88077487005455	1.3167463917288	0.35501702604847485	3.708966880785623	0.00020810664381169124	0.0003519302111252159
ENSG00000287382.1	26.892582502656392	-0.7855553021690082	0.3356898870292819	-2.3401220368026308	0.01927743964569252	0.025722385439616094
ENSG00000198492.16	17.40145472842867	0.31366023305064	0.6651322712474899	0.47157572502436856	0.6372296570295436	0.6744228859992166
ENSG00000083097.15	23.937132326718064	0.27117763147839336	0.38367093674307373	0.7067974284953155	0.47969237284431104	0.523771309993945
ENSG00000120860.11	19.384732470469416	0.13893927342140538	0.3649958861405778	0.3806598339793152	0.7034556767052205	0.7350900925463947
ENSG00000207452.1	9.115781637973944	1.6002605013220723	0.5070786603876972	3.155842724871445	0.0016003512824491457	0.002450122973666652
ENSG00000200487.1	20.363282292891203	2.0041446957986304	0.9492242964157575	2.1113499763609305	0.0347422413701519	0.04464826348962168
ENSG00000250642.3	21.12375029986094	0.181465329612451	0.5330671310190727	0.3404174053379373	0.7335422129984809	0.7607014618764412
ENSG00000110958.16	131.58582890404898	0.361853567360474	0.22892273538648578	1.580679903852991	0.11395124558042709	0.13775146720069356
ENSG00000139278.10	55.63455660627663	0.013753274572189849	0.28450290127308187	0.048341421161778184	0.9614441438106746	0.9651360893229076
ENSG00000208018.1	79.54283104578694	-4.25810790908579	0.45426872409134667	-9.373544079229957	7.013702382155216e-21	4.661437367123075e-20
ENSG00000207214.1	11.046478471219885	1.2764979856310579	1.1371430442765942	1.122548295094322	0.2616293853277614	0.29925969967567057
ENSG00000291100.1	16.464813968390043	-0.5476133421292875	1.365915714589345	-0.40091298187745383	0.6884841917161446	0.7228162347434891
ENSG00000290791.1	40.15329804959031	0.8211188843108909	0.480788829088926	1.7078576593946153	0.0876627571856712	0.10716994126712803
ENSG00000108639.8	163.23895241566572	-0.284133085134588	0.27363516222977513	-1.0383646707508944	0.29910031094357087	0.33909565429345206
ENSG00000064547.14	22.5631390050578	2.451507849162787	0.3626778622724816	6.759463711961987	1.3850344318499506e-11	4.65686282177202e-11
ENSG00000126870.16	55.46278729529944	4.471376597093847	0.48582169773745143	9.203740009797329	3.457030611121539e-20	2.199737328009791e-19
ENSG00000198551.10	77.66684383437035	2.2560010952656944	0.32634951822205693	6.912837216847524	4.75054978517485e-12	1.6613684142802123e-11
ENSG00000185009.13	103.98877890708886	-1.345447806851622	0.21555430149667085	-6.241804489679376	4.325514100862465e-10	1.2947650509928963e-09
ENSG00000242444.4	144.57657771690754	-3.0175100097567507	0.26520701031422184	-11.377942107116825	5.385557340339036e-30	6.49788206793983e-29
ENSG00000226469.1	9.305203756407188	0.6544293215474456	0.5394900122193265	1.2130517835822163	0.2251100228105105	0.2600037340046287
ENSG00000164087.8	110.25449744149766	3.254501631607297	0.2805559719312733	11.600186619461944	4.111806236428534e-31	5.2011032918049635e-30
ENSG00000143393.17	32.261009595676455	-0.01890868052334828	0.3603307615279126	-0.052475898652587116	0.9581494989582724	0.9624447576791868
ENSG00000179335.20	177.75184219928724	3.7632090957007986	0.30554003034095195	12.316582843503143	7.375377628317623e-35	1.1231339621374943e-33
ENSG00000225217.1	25.848848462812857	-3.4995895231828724	0.6833669985568214	-5.121098224780436	3.037613602658659e-07	6.905068022855226e-07
ENSG00000089022.15	89.49275717669266	-2.0332109264558875	0.25454335994926675	-7.987680082721972	1.3750171404839706e-15	6.333962951098701e-15
ENSG00000213380.16	71.73420529472557	1.5401212075420174	0.22652413303260058	6.798927720961053	1.0540067730172538e-11	3.574507294005541e-11
ENSG00000149218.5	23.83318337056693	-2.4447467700711507	0.45613183257405904	-5.359737241478786	8.334308124073957e-08	2.0034271712812262e-07
ENSG00000238287.1	18.861281337289995	-3.4612989528325806	0.4124218360744594	-8.392618067409193	4.7543415501608836e-17	2.413328388811439e-16
ENSG00000280010.1	34.631462485411994	0.5765616468596461	0.322240489479412	1.7892278148878704	0.07357813386323465	0.09062214602629254
ENSG00000125871.14	27.22554118144327	0.26059798252364774	0.49772160202056837	0.5235818205714096	0.6005694285803432	0.6398332007502808
ENSG00000142655.13	35.712010774568725	2.0396678517579008	0.35244611904796574	5.787176369731325	7.157941327276845e-09	1.9208265135729225e-08
ENSG00000287738.1	28.894489559703395	5.067790607112251	0.8693060484877175	5.829696705698066	5.552820650838692e-09	1.5094625980659426e-08
ENSG00000286319.1	117.043843329609	2.1446475984545583	0.22807058826603258	9.40343783369795	5.280880515966668e-21	3.5322222129184304e-20
ENSG00000272025.1	11.203307490243528	1.3810984322386508	0.566823045096177	2.4365601296332433	0.014827704012048793	0.020179829711842543
ENSG00000287250.1	27.834947092386944	2.910556361282256	0.4697836365037943	6.195525205907738	5.809099474857781e-10	1.717544302792541e-09
ENSG00000107036.12	233.9350524513111	-2.1160296239545886	0.27197354287724	-7.780277454817344	7.236566161463813e-15	3.1883578719820195e-14
ENSG00000121281.13	57.144582433999	-0.9180473211906064	0.2245075719964082	-4.089159724222102	4.329386691787271e-05	7.896096541939924e-05
ENSG00000170222.12	56.57735039137312	-1.9152913542836658	0.1932987308142553	-9.908452819196771	3.825237294117683e-23	2.985017261603774e-22
ENSG00000153044.10	45.41824066606081	-1.773594878081769	0.28119637352651844	-6.307317750363906	2.8391258169961733e-10	8.64692979409417e-10
ENSG00000256040.2	74.59884096294118	-2.6005706699663285	0.497627225857975	-5.22594129668569	1.7327133079306252e-07	4.048825061728731e-07
ENSG00000230424.3	58.95584865411579	2.1855766354916812	0.27319102680454194	8.000177242480882	1.2424024298745362e-15	5.756892795445229e-15
ENSG00000275638.1	158.6736786877488	-0.6309018785919971	0.189457812541052	-3.330038862637519	0.0008683386358593584	0.0013709000003476635
ENSG00000153443.13	44.258601121535214	2.6944442089785747	0.532163894595341	5.063184925440006	4.1230955133452145e-07	9.245282791539626e-07
