Gene ID	Transcript ID	log2FoldChange	padj	WT_Early Read-In vs. Gene	Assignment
ENSG00000001460.18	ENST00000475760.1	5.204817180800348	3.718852728150056e-22	-2.676752180399731	Primary Induction
ENSG00000001617.12	ENST00000470737.1	7.577822562656492	1.4281499133931814e-11	-2.3377965165579457	Primary Induction
ENSG00000003393.16	ENST00000680404.1	3.3959755830744176	1.1318033153997408e-83	-7.883514805252648	Primary Induction
ENSG00000004660.15	ENST00000381769.6	2.6934676057725526	1.0841598791668019e-16	-5.06117190504272	Primary Induction
ENSG00000005379.17	ENST00000578486.1	3.0286993289628263	6.873181381703769e-15	-1.844514838701696	Primary Induction
ENSG00000005812.11	ENST00000477982.2	1.3613163927174046	1.2904562347997312e-27	-5.319756774672825	Primary Induction
ENSG00000005884.18	ENST00000506437.1	1.6894388556932582	2.896278682522035e-06	-5.9760390683979026	Primary Induction
ENSG00000005961.19	ENST00000587295.5	5.525198368931847	1.5525004794129637e-11	-1.3733591464773451	Primary Induction
ENSG00000006327.14	ENST00000571351.1	2.6077116586654467	1.6558551588176574e-08	-5.574846398402718	Primary Induction
ENSG00000006459.11	ENST00000478996.1	2.6206165984405803	6.19887254076495e-08	-3.795872285460948	Primary Induction
ENSG00000006555.11	ENST00000448308.2	2.671682557410876	1.7598355067153752e-08	-4.48335051113945	Primary Induction
ENSG00000006611.17	ENST00000624811.1	6.484791666742263	1.3223434789871033e-08	-4.3514591899699235	Primary Induction
ENSG00000006704.11	ENST00000486086.1	2.2048232040442617	0.0004697493659878126	-4.571203376341262	Primary Induction
ENSG00000006837.12	ENST00000522501.1	2.851734510443537	8.012622572420606e-60	-1.438560884330089	Primary Induction
ENSG00000007341.19	ENST00000492274.1	1.4559056915132251	5.0848633510700766e-12	-2.137883471878002	Primary Induction
ENSG00000007384.15	ENST00000493647.1	10.883162049467023	1.1239384046616103e-29	-7.8599561184983155	Primary Induction
ENSG00000007392.17	ENST00000442701.1	1.0976045084675514	4.040023574929939e-09	-3.2775960986241786	Primary Induction
ENSG00000007516.15	ENST00000711110.1	7.210323306725402	4.046354822984675e-15	-5.194739621358324	Primary Induction
ENSG00000007545.16	ENST00000498594.5	2.2040474529246907	4.034148077204693e-16	-3.193588745258064	Primary Induction
ENSG00000007952.18	ENST00000427768.5	5.0941533257150375	5.582487125605872e-22	-1.7065592413930628	Primary Induction
ENSG00000008405.12	ENST00000546722.1	2.3826713019195886	9.62901621713113e-07	-4.810977211771791	Primary Induction
ENSG00000008441.19	ENST00000586873.1	4.2501422406791045	1.243617870398778e-08	-2.185172190243982	Primary Induction
ENSG00000008516.18	ENST00000575441.1	4.348041227637143	5.422342113261608e-08	-2.18546852390402	Primary Induction
ENSG00000008735.14	ENST00000008876.7	5.196187728897064	2.592665078294469e-40	-0.4717874186851034	Read-In
ENSG00000009724.18	ENST00000400898.3	7.963415247178105	1.1668138153167904e-14	-0.1609364959888655	Read-In
ENSG00000010072.16	ENST00000469904.1	1.3261779115186456	5.1337872365742464e-11	-3.715672480439117	Primary Induction
ENSG00000011083.9	ENST00000230671.7	7.297740686848986	1.3920227204179115e-47	-4.638341756159121	Primary Induction
ENSG00000011132.12	ENST00000589934.1	1.5441685445137174	3.1538488318726824e-11	-6.486119087895907	Primary Induction
ENSG00000011198.10	ENST00000463153.2	1.4666099605854568	7.23595867295747e-16	-5.447338544981324	Primary Induction
ENSG00000011258.16	ENST00000586898.1	1.243293402374822	5.58069244710961e-08	-5.073775659186623	Primary Induction
ENSG00000011275.19	ENST00000484458.2	1.1395323117057332	4.474660513690551e-08	-3.431069726600843	Primary Induction
ENSG00000011332.22	ENST00000488378.1	3.4630600311834283	3.1199764625315256e-23	-4.857085250307557	Primary Induction
ENSG00000011405.14	ENST00000265970.11	1.0628600567113575	1.4923358741135063e-19	-4.601717189717258	Primary Induction
ENSG00000011566.15	ENST00000479708.1	1.7883725467533855	1.9145352499653949e-07	-4.785427228251913	Primary Induction
ENSG00000011600.12	ENST00000588439.1	3.5689612222642886	6.231283767006508e-12	-1.6609327767947488	Primary Induction
ENSG00000012171.20	ENST00000434030.1	5.387599645178709	1.6620317993298876e-08	-2.3762539456263765	Primary Induction
ENSG00000013288.9	ENST00000510427.1	1.3859743099954092	2.0080882295759328e-05	-7.295935371537764	Primary Induction
ENSG00000015133.20	ENST00000555995.1	2.623004206904025	1.2492150381969186e-40	-7.711088122332902	Primary Induction
ENSG00000018625.15	ENST00000459972.1	6.991003969245466	8.910350330565818e-12	-4.16466151106904	Primary Induction
ENSG00000020219.9	ENST00000465400.1	6.8034711868856785	9.7799062180732e-09	-1.0888764041531993	Primary Induction
ENSG00000022567.10	ENST00000024061.7	3.6321991982352926	2.002740621263956e-40	-5.775369700801324	Primary Induction
ENSG00000022976.16	ENST00000559098.5	1.0175305571773432	6.071735139820637e-16	-4.220517151909651	Primary Induction
ENSG00000023909.10	ENST00000370238.8	1.1843463498617397	3.099394921024409e-09	-4.932195619393949	Primary Induction
ENSG00000025434.19	ENST00000494018.1	1.1688760263511142	0.04776023036524362	-1.433301096710335	Primary Induction
ENSG00000025770.19	ENST00000522304.1	1.2388968197207368	3.6410002345450185e-07	-6.363376938362262	Primary Induction
ENSG00000026559.14	ENST00000506387.1	8.942047085524043	1.3825532383865365e-19	-4.4314245703846895	Primary Induction
ENSG00000032742.18	ENST00000461115.5	2.313509774559241	1.928286342311514e-34	-2.7923368540618627	Primary Induction
ENSG00000036549.13	ENST00000458763.2	2.688135988797642	4.7930773909098595e-47	-6.182746796081937	Primary Induction
ENSG00000038219.13	ENST00000040738.10	1.1212666957866018	5.3712071388131954e-08	-5.8301758411972795	Primary Induction
ENSG00000039987.7	ENST00000552539.1	10.064411911279413	4.7488519437053934e-24	-1.899495889840825	Primary Induction
ENSG00000040531.16	ENST00000046640.9	3.6476856542610014	4.2520161560647723e-72	-4.292850260789407	Primary Induction
ENSG00000047932.14	ENST00000052569.10	1.3243429565683649	3.5531460524248274e-21	0.8262606346016215	Read-In
ENSG00000048471.14	ENST00000568359.1	2.668391026073113	1.6810025929721797e-18	-4.977948600423256	Primary Induction
ENSG00000049246.15	ENST00000473653.1	3.480514401345004	4.837739675698638e-19	-5.993917241193497	Primary Induction
ENSG00000049769.14	ENST00000495799.5	1.7248856310419696	3.0119858075965677e-29	-3.1310664685910568	Primary Induction
ENSG00000050438.17	ENST00000546875.1	2.264274225579201	2.4632864483096264e-09	-3.2108161109536737	Primary Induction
ENSG00000052795.13	ENST00000505130.1	1.4773446943499515	1.8632443107800688e-09	-1.4382712341455015	Primary Induction
ENSG00000053108.18	ENST00000511375.1	7.516171478690736	1.849381569618868e-43	-3.8471254852344985	Primary Induction
ENSG00000053438.11	ENST00000649451.1	5.954495596908255	2.0052624395771425e-10	-1.1005805197947371	Primary Induction
ENSG00000053702.15	ENST00000337508.9	4.561096795152424	4.986770823852043e-32	0.4039677673872548	Read-In
ENSG00000054523.20	ENST00000470616.1	1.0037286802630023	0.00010297867937498536	-3.412310959534872	Primary Induction
ENSG00000054611.14	ENST00000486163.5	1.8401276032948992	6.033243623976515e-12	-2.720436895998781	Primary Induction
ENSG00000054654.20	ENST00000557307.1	1.5667265691104484	2.045023438922192e-07	-9.470720717436784	Primary Induction
ENSG00000054965.11	ENST00000064778.8	1.604562340450097	1.3436966191109994e-17	-3.689388235921936	Primary Induction
ENSG00000054967.13	ENST00000545886.1	1.1418605601748553	6.644818430120187e-11	-7.229977853140353	Primary Induction
ENSG00000055118.17	ENST00000683359.1	2.9693286399356222	0.0008249861513072053	-3.7248198796836016	Primary Induction
ENSG00000056277.16	ENST00000370978.9	1.6395732702612398	7.855075184700008e-21	-4.501207443819713	Primary Induction
ENSG00000056586.16	ENST00000398671.2	1.9043685841611049	5.123809766054638e-18	-7.0703142766663705	Primary Induction
ENSG00000057704.13	ENST00000552239.1	3.2791512788790627	1.373384998173345e-29	-2.3104980605222605	Primary Induction
ENSG00000058404.21	ENST00000466584.5	7.52816304503263	2.289620904608913e-31	-6.3900288934832	Primary Induction
ENSG00000058668.16	ENST00000484746.1	1.2757127871282319	1.1339178697466512e-08	-4.515017436510114	Primary Induction
ENSG00000059145.19	ENST00000562537.1	4.026233760018386	2.2551775216161637e-62	-9.053855021858977	Primary Induction
ENSG00000059769.20	ENST00000463589.5	2.625659597132807	6.194642052336063e-67	-5.048102256465175	Primary Induction
ENSG00000060069.18	ENST00000585951.1	7.156095079646749	5.851186543693259e-141	-10.138345580624284	Primary Induction
ENSG00000060718.22	ENST00000470170.1	7.091246300986878	6.25224333339388e-13	-4.682527546078463	Primary Induction
ENSG00000061656.11	ENST00000430878.1	2.412892410857213	3.4042389613079944e-09	-4.499861414123865	Primary Induction
ENSG00000063015.21	ENST00000535262.1	9.544062446031164	8.065418846557909e-19	-8.98238986229111	Primary Induction
ENSG00000063854.13	ENST00000564445.5	3.3493349894364	2.0160667247391443e-53	-1.86345411039018	Primary Induction
ENSG00000064300.9	ENST00000172229.8	6.6255278573446645	2.0861873855116338e-60	-3.547929179141072	Primary Induction
ENSG00000064607.17	ENST00000598863.1	1.022965218153012	9.425708667690944e-12	-8.57162804362649	Primary Induction
ENSG00000064961.19	ENST00000585900.1	2.016867595352696	5.2135836953114914e-14	-1.1616753018532242	Primary Induction
ENSG00000065154.12	ENST00000483711.1	1.1226529853984941	0.013817233557693109	-3.1694021969435715	Primary Induction
ENSG00000065361.17	ENST00000682873.1	5.424090611652013	5.2880407340683035e-20	-1.9686653868520605	Primary Induction
ENSG00000065491.8	ENST00000373491.3	1.42022447157141	2.5606631724750906e-25	-4.067860088804871	Primary Induction
ENSG00000065526.13	ENST00000704274.1	1.7048420301956873	1.0912272465953692e-19	-6.936291190119637	Primary Induction
ENSG00000065618.21	ENST00000433822.1	9.003057623845203	3.145210780276714e-20	-4.007844131741367	Primary Induction
ENSG00000065621.15	ENST00000450629.6	4.122536280858332	1.0454475167398834e-45	-1.3933565454759629	Primary Induction
ENSG00000065665.21	ENST00000466451.1	1.1881518568861558	7.604774133194027e-07	-2.7808454057374528	Primary Induction
ENSG00000066336.13	ENST00000227163.8	1.6582028122524477	2.970024879720617e-08	-3.4525643748489694	Primary Induction
ENSG00000066427.25	ENST00000642896.1	3.012948926989773	3.74942613308245e-18	-1.4590475262192948	Primary Induction
ENSG00000066629.19	ENST00000553313.1	3.2220735314944533	1.0396905125941757e-08	-1.7502793771097904	Primary Induction
ENSG00000067221.14	ENST00000565240.5	2.9430411173726445	8.672854376042576e-35	-5.162718317420607	Primary Induction
ENSG00000067606.17	ENST00000505322.5	2.01504938230699	4.1856392311590014e-05	-4.908082613824815	Primary Induction
ENSG00000068024.18	ENST00000494800.1	5.468443124822702	7.319304742309164e-58	-5.389618190573655	Primary Induction
ENSG00000068383.19	ENST00000423490.5	3.3426028101865426	7.107967654732174e-51	-5.357244348964701	Primary Induction
ENSG00000068650.19	ENST00000614170.1	2.133398835239253	9.285894796729697e-10	-7.876567207578666	Primary Induction
ENSG00000068724.18	ENST00000496991.3	2.7298110035161853	1.8075957232405473e-30	-6.050834030550474	Primary Induction
ENSG00000068976.14	ENST00000462303.1	5.551429471222282	1.7583762005143533e-20	-1.86476937556236	Primary Induction
ENSG00000069849.11	ENST00000486782.1	1.7458248215521963	1.1060868364521703e-50	-7.363151101700147	Primary Induction
ENSG00000070159.14	ENST00000447271.1	2.5069821453028758	1.5845406802661744e-06	-3.18635435911164	Primary Induction
ENSG00000070366.14	ENST00000574501.1	1.4315665244235962	2.2361067258529794e-09	-4.756372190270072	Primary Induction
ENSG00000070371.16	ENST00000412649.5	3.08022446137141	6.303058448384311e-09	-2.9057038095391405	Primary Induction
ENSG00000070388.12	ENST00000591390.1	5.489638927086848	1.3899054420010409e-07	-0.41233316882842974	Read-In
ENSG00000070495.15	ENST00000445478.6	1.4129123364946978	8.188398367181999e-27	-1.909275218198359	Primary Induction
ENSG00000070614.15	ENST00000521752.1	2.6703526929291974	3.430650673419831e-21	-6.5581229476919285	Primary Induction
ENSG00000070731.11	ENST00000592979.1	1.863648184212256	0.0018414154673846261	-2.4544421570018025	Primary Induction
ENSG00000070778.13	ENST00000553531.1	9.413789546822409	8.160418438175756e-22	-5.288472817714319	Primary Induction
ENSG00000070886.12	ENST00000374644.8	6.915785659065	8.501077336170542e-37	-1.6082712466352058	Primary Induction
ENSG00000070915.10	ENST00000563352.1	3.88071145944653	5.5901262801608246e-21	-3.201671632930009	Primary Induction
ENSG00000071246.11	ENST00000554743.1	5.109725609602854	3.9188011891379186e-23	-4.954574368497457	Primary Induction
ENSG00000071539.14	ENST00000508430.1	1.9983030425780717	1.3768400491969017e-11	-9.037401897394872	Primary Induction
ENSG00000072121.17	ENST00000557204.1	1.6934493821313492	1.1769321338388554e-13	-7.201229103546813	Primary Induction
ENSG00000072954.7	ENST00000599479.1	1.3922018512774244	2.182587400089314e-06	-3.9887378453630133	Primary Induction
ENSG00000073146.17	ENST00000354853.2	8.859004315275271	6.303494635215717e-44	-4.369613364218209	Primary Induction
ENSG00000073150.14	ENST00000159647.9	4.1138555644322015	1.0952114332548226e-23	-2.078465607783925	Primary Induction
