Gene ID	Transcript ID	log2FoldChange	padj	WT_Late Read-In vs. Gene	Assignment
ENSG00000003393.16	ENST00000680404.1	2.901411150609436	2.3756936215895504e-58	-5.8563292738737225	Primary Induction
ENSG00000004809.14	ENST00000460159.1	7.180507644613694	2.422577107910447e-11	-3.228699347131826	Primary Induction
ENSG00000005379.17	ENST00000578486.1	2.6274831248005506	3.207738943320041e-10	-2.928347629107982	Primary Induction
ENSG00000005884.18	ENST00000506437.1	2.6480147802993934	1.2356207865433778e-13	-5.538140762312176	Primary Induction
ENSG00000006459.11	ENST00000478996.1	4.207437944946178	6.105142945007201e-19	-4.228473246912282	Primary Induction
ENSG00000006704.11	ENST00000486086.1	2.664024718512064	2.1426856981405745e-05	-4.56608441530253	Primary Induction
ENSG00000007341.19	ENST00000492274.1	1.4996820456968272	7.481098305154437e-12	-1.0394983789340737	Primary Induction
ENSG00000007384.15	ENST00000493647.1	8.469895151830327	2.5519331868480197e-18	-4.0884427308402636	Primary Induction
ENSG00000007516.15	ENST00000711110.1	5.908342858413051	4.015817547805e-10	-4.9863576768509015	Primary Induction
ENSG00000007545.16	ENST00000498594.5	1.417016102832306	1.0603832332124328e-06	-1.2923140760048182	Primary Induction
ENSG00000008256.17	ENST00000466543.1	1.230326481743765	0.04284723964673254	-4.5033581675729435	Primary Induction
ENSG00000008323.16	ENST00000535616.1	2.0118739125992082	0.026140834886491042	-3.337870385466315	Primary Induction
ENSG00000008405.12	ENST00000546722.1	2.254509101390364	8.798995438391974e-06	-2.818890484134187	Primary Induction
ENSG00000008441.19	ENST00000586873.1	4.520027997088787	2.936175240060561e-09	-2.3842105338931043	Primary Induction
ENSG00000011132.12	ENST00000589934.1	1.3342158338168917	6.190251876610241e-08	-4.251301641470408	Primary Induction
ENSG00000011258.16	ENST00000586898.1	1.2798308534448823	2.941631293631045e-07	-3.8172941569998438	Primary Induction
ENSG00000011332.22	ENST00000488378.1	2.415987817533934	3.5906055671538926e-10	-2.149676245903437	Primary Induction
ENSG00000013275.8	ENST00000601194.1	7.0257265874736925	5.292057497562239e-07	-4.923112901381877	Primary Induction
ENSG00000013563.14	ENST00000497242.1	1.4467749299093873	1.1816714153244154e-05	-5.134625184504523	Primary Induction
ENSG00000015133.20	ENST00000555995.1	1.085179170132917	3.345303872939799e-07	-4.768015898842641	Primary Induction
ENSG00000025770.19	ENST00000522304.1	1.541722887596165	5.672179262453452e-10	-5.899390663395027	Primary Induction
ENSG00000036549.13	ENST00000458763.2	1.9822760905367824	1.1717620780595827e-23	-4.777579784483494	Primary Induction
ENSG00000039987.7	ENST00000552539.1	10.04911297757041	4.344360702894906e-24	-3.6038225061407	Primary Induction
ENSG00000040199.18	ENST00000564884.5	1.012058628407943	4.745919461205578e-21	-3.690178934600172	Primary Induction
ENSG00000040531.16	ENST00000046640.9	2.675887177332432	2.001856130451881e-38	-1.7720314786739078	Primary Induction
ENSG00000048471.14	ENST00000568359.1	2.479612680342357	6.101006803106802e-16	-3.7864709174935696	Primary Induction
ENSG00000049089.15	ENST00000427563.1	1.3797579126479942	8.905136450078707e-07	-5.173108495034587	Primary Induction
ENSG00000049769.14	ENST00000495799.5	1.6040567205728662	7.714446512628852e-24	-3.634012165728529	Primary Induction
ENSG00000054654.20	ENST00000557307.1	1.1461006154486184	0.00019870128272855543	-7.445979630649966	Primary Induction
ENSG00000054965.11	ENST00000064778.8	2.0525478008589677	4.183785357894234e-28	-3.1868363308095278	Primary Induction
ENSG00000056586.16	ENST00000398671.2	2.0396803679967888	3.953284149447417e-20	-5.452880019678993	Primary Induction
ENSG00000058404.21	ENST00000466584.5	5.622931746674398	2.846163003394669e-17	-3.150291091055988	Primary Induction
ENSG00000059145.19	ENST00000562537.1	3.735849041885909	4.152533684705784e-53	-7.349443169304523	Primary Induction
ENSG00000059769.20	ENST00000463589.5	2.480783835736564	4.068087173720939e-59	-3.750139631192207	Primary Induction
ENSG00000060069.18	ENST00000585951.1	5.436978193632454	1.132839212987052e-80	-7.068037958491746	Primary Induction
ENSG00000060718.22	ENST00000470170.1	10.009512989021156	4.264675371267649e-25	-6.266368865520903	Primary Induction
ENSG00000061656.11	ENST00000430878.1	2.2207658091499303	1.2586067012520834e-07	-4.005281154575886	Primary Induction
ENSG00000062038.15	ENST00000569036.2	7.776257654189037	1.03069080148089e-22	-3.5173171329042563	Primary Induction
ENSG00000063015.21	ENST00000535262.1	9.223686221766963	8.779315593426256e-18	-6.6853432634505925	Primary Induction
ENSG00000063854.13	ENST00000564445.5	1.774122894429707	1.7082359001469881e-15	-2.0317378635230345	Primary Induction
ENSG00000064042.18	ENST00000505705.1	7.163512207234744	5.574121666749015e-29	-3.5560335712873545	Primary Induction
ENSG00000064607.17	ENST00000598863.1	1.032869110497947	8.808272939057576e-12	-7.577938680355851	Primary Induction
ENSG00000064961.19	ENST00000585900.1	1.3190407883839799	1.115239599044777e-06	-0.6210767457796811	Read-In
ENSG00000065361.17	ENST00000682873.1	4.762131524842948	1.7824702046269894e-15	-1.8437845823992864	Primary Induction
ENSG00000065618.21	ENST00000433822.1	8.953967137263083	6.075130752362295e-20	-2.074232375320205	Primary Induction
ENSG00000066336.13	ENST00000227163.8	1.1536248577184185	0.00013101229141904426	-3.1464016881791697	Primary Induction
ENSG00000067221.14	ENST00000565240.5	2.869828776336105	4.315523425477186e-30	-2.5935461763054626	Primary Induction
ENSG00000068400.14	ENST00000703885.1	3.0960283442360117	0.0001971019812391204	-6.285427655304391	Primary Induction
ENSG00000068650.19	ENST00000614170.1	1.9217651753911238	3.3748893334078274e-08	-6.297310496746155	Primary Induction
ENSG00000068724.18	ENST00000496991.3	1.7910934746684497	7.0379150915033695e-12	-4.0546973922691665	Primary Induction
ENSG00000068976.14	ENST00000462303.1	4.043126122961488	4.4370681972557447e-10	-1.5571776926684335	Primary Induction
ENSG00000069020.19	ENST00000485768.1	6.307200742280093	3.5908070014046475e-08	-3.5693746686046763	Primary Induction
ENSG00000069849.11	ENST00000486782.1	1.338130037603796	1.1186423808096306e-28	-6.227820535079764	Primary Induction
ENSG00000070366.14	ENST00000574501.1	1.0948506459257663	1.0149823017577902e-05	-4.851154990650882	Primary Induction
ENSG00000070614.15	ENST00000521752.1	2.6467625024176065	2.2062142073353857e-20	-6.5183314177193425	Primary Induction
ENSG00000070778.13	ENST00000553531.1	8.646186219353236	2.1320770223387918e-18	-2.9503769266366344	Primary Induction
ENSG00000071246.11	ENST00000554743.1	5.894076420428673	2.999060490235266e-30	-3.969676709018689	Primary Induction
ENSG00000072121.17	ENST00000557204.1	1.9481183331095395	7.140107771712395e-16	-6.231703480976992	Primary Induction
ENSG00000072422.17	ENST00000496237.1	4.708882008447554	5.616931645502863e-05	-2.495436654976144	Primary Induction
ENSG00000073146.17	ENST00000354853.2	8.814370674194711	1.5462801192516391e-43	-2.713763990064857	Primary Induction
ENSG00000073150.14	ENST00000159647.9	3.6010157480011435	2.522125369688233e-18	-1.3749973067063666	Primary Induction
ENSG00000073169.15	ENST00000380903.7	1.2651067263055753	9.600293181486036e-08	3.0047048556232565	Read-In
ENSG00000073910.23	ENST00000418076.1	3.8498062257432633	3.48202769844294e-08	-4.1586379164491225	Primary Induction
ENSG00000074603.19	ENST00000560665.1	2.6243786057880376	3.3019795512787514e-45	-4.220809003094827	Primary Induction
ENSG00000074657.14	ENST00000590442.1	1.6117158274908159	1.1084799691737487e-15	-2.494951986795767	Primary Induction
ENSG00000075240.17	ENST00000408031.1	1.6234974153903907	4.661361333642669e-11	-6.217423658717292	Primary Induction
ENSG00000075275.18	ENST00000473624.2	1.945300028263244	1.1073908891824764e-05	-2.495065891052173	Primary Induction
ENSG00000075702.19	ENST00000680597.1	1.3301097580687815	1.5190319085515903e-06	-4.7143675644140215	Primary Induction
ENSG00000076321.11	ENST00000488983.1	1.5313145633735403	7.185408845643763e-12	-3.3555105712958286	Primary Induction
ENSG00000076351.13	ENST00000612814.5	1.5010556030787876	2.0737841050261405e-24	-2.915299162151168	Primary Induction
ENSG00000076650.7	ENST00000590062.1	3.4554533992532526	9.811921574189856e-65	-6.0226878167013345	Primary Induction
ENSG00000077463.15	ENST00000596298.5	1.5009186201465403	2.9814780694802115e-14	-4.527437882984202	Primary Induction
ENSG00000078018.22	ENST00000473543.1	3.490810125274745	5.212169782522366e-09	-4.7052108213788015	Primary Induction
ENSG00000078098.15	ENST00000462608.5	7.633908490549349	3.5604266873441076e-28	-3.720896173816721	Primary Induction
ENSG00000078124.13	ENST00000680624.1	1.3613399022493973	1.587235841881729e-17	-4.238220964475313	Primary Induction
ENSG00000078687.18	ENST00000592251.1	1.965248157935192	1.0044693883459666e-06	-2.6491259094883266	Primary Induction
ENSG00000078699.22	ENST00000543126.1	1.2238584897531282	5.329405603079044e-10	-3.3656051947172125	Primary Induction
ENSG00000078898.7	ENST00000170150.4	11.365698926786239	6.461093227269333e-33	-3.0361880694806738	Primary Induction
ENSG00000081386.13	ENST00000472201.1	1.5237619160392897	4.837705796960506e-06	-4.9932992184957525	Primary Induction
ENSG00000083290.20	ENST00000570983.2	3.250665148222863	1.4029049844635078e-15	-4.202232793389976	Primary Induction
ENSG00000083814.13	ENST00000601584.1	1.7170072302067036	1.1669373140709633e-58	-5.633873442095807	Primary Induction
ENSG00000083857.15	ENST00000508035.1	2.16676690419603	0.010933782797167104	-4.001767404157371	Primary Induction
ENSG00000087157.19	ENST00000586880.1	1.5874719003618525	5.154817642175223e-19	-6.398655904854264	Primary Induction
ENSG00000087903.13	ENST00000589641.1	1.0975177622219536	8.862777138893992e-08	-3.8065634175799934	Primary Induction
ENSG00000088256.9	ENST00000591301.1	1.8271987936312508	9.309967765926779e-08	-4.843976005617803	Primary Induction
ENSG00000088899.16	ENST00000329152.7	3.859022514882621	1.4361320401454332e-21	-2.9856613497975952	Primary Induction
ENSG00000089022.15	ENST00000602983.1	5.314472662699342	2.552500936587265e-17	-4.665013349946765	Primary Induction
ENSG00000089159.17	ENST00000637624.1	2.395612779422661	6.344268485783843e-40	-5.666307699259932	Primary Induction
ENSG00000089486.17	ENST00000586768.1	5.30177720616217	6.307622212209044e-133	-4.61363721316191	Primary Induction
ENSG00000090020.11	ENST00000490329.1	2.8503767235165713	2.8117500227198796e-30	-6.517383896932053	Primary Induction
ENSG00000090857.14	ENST00000564563.1	1.5020050883828158	2.175378109018357e-28	-4.376383075183786	Primary Induction
ENSG00000090905.19	ENST00000568806.1	1.860226712521076	0.003277806518378817	-4.606251432593909	Primary Induction
ENSG00000092068.21	ENST00000524758.1	7.236410948397795	1.1466115841551482e-86	-3.0932328499050135	Primary Induction
ENSG00000092094.11	ENST00000553292.1	4.438335889662348	0.0002824028284865479	-5.47748087274966	Primary Induction
ENSG00000093009.11	ENST00000471470.1	1.5758701534265047	5.250566153978729e-13	-3.725419694994183	Primary Induction
ENSG00000096070.19	ENST00000532538.1	1.4660627344315549	1.0978629537188108e-08	-4.053626363339035	Primary Induction
ENSG00000099625.14	ENST00000591127.1	6.057276730901236	4.8996610827741486e-45	-4.1147115119228435	Primary Induction
ENSG00000099822.3	ENST00000251287.3	6.0960558787200405	3.269621825491487e-58	-2.544031740462145	Primary Induction
ENSG00000099864.18	ENST00000587513.3	5.649489400959982	9.676174614319595e-11	-4.993126794561928	Primary Induction
ENSG00000099910.17	ENST00000423364.1	2.047276116799213	5.348004333539449e-16	-4.4060178493968944	Primary Induction
ENSG00000099954.19	ENST00000355219.4	5.869549777818543	4.2965354862176205e-56	-2.8479817261208487	Primary Induction
ENSG00000099992.16	ENST00000466666.5	2.760809192050566	1.0644762883099194e-21	-7.3633323653705585	Primary Induction
ENSG00000100030.15	ENST00000491588.1	1.6787006383236949	8.190806770939629e-23	-5.79392453836786	Primary Induction
ENSG00000100100.13	ENST00000443175.1	1.6906963528198269	5.367197484007525e-06	-4.257992347893097	Primary Induction
ENSG00000100150.20	ENST00000462414.1	2.4171703014190133	2.7718826863693716e-14	-1.8871341164650215	Primary Induction
