Gene ID	Transcript ID	log2FoldChange	padj	dBGLF5_Early Read-In vs. Gene	Assignment
ENSG00000001460.18	ENST00000475760.1	5.079552463920145	2.140814498793128e-17	-4.562382303694254	Primary Induction
ENSG00000003393.16	ENST00000680404.1	2.538402525765965	2.2721886042366953e-27	-7.39982284709906	Primary Induction
ENSG00000004660.15	ENST00000381769.6	2.3764661970498384	3.405299359021011e-08	-3.1749908941436917	Primary Induction
ENSG00000004809.14	ENST00000460159.1	4.567915806148922	0.0003171642322301649	-4.827666637992341	Primary Induction
ENSG00000005379.17	ENST00000578486.1	2.033822492051532	0.00010208700889206944	-1.9227294940159492	Primary Induction
ENSG00000005884.18	ENST00000506437.1	1.7393098224956984	0.00025548441643486624	-6.609318826981884	Primary Induction
ENSG00000005961.19	ENST00000587295.5	5.347845555142068	6.099581018431815e-08	-1.5054786408090486	Primary Induction
ENSG00000006555.11	ENST00000448308.2	1.6670299506462198	0.010644705646676456	-3.6985887818490575	Primary Induction
ENSG00000006704.11	ENST00000486086.1	2.7974714449259572	0.0017158520815642804	-3.4624549495775945	Primary Induction
ENSG00000006837.12	ENST00000522501.1	2.5030116443021475	1.0327035234271627e-26	-1.6833156723191385	Primary Induction
ENSG00000007384.15	ENST00000493647.1	6.816771880312706	2.4908521128320216e-23	-5.763034379575116	Primary Induction
ENSG00000007516.15	ENST00000711110.1	3.332105917893758	1.401899759913201e-06	-3.352887183815993	Primary Induction
ENSG00000007545.16	ENST00000498594.5	2.0791852609938872	8.66246869106192e-09	-7.4733676926934764	Primary Induction
ENSG00000008735.14	ENST00000008876.7	5.18876423237095	3.0297873197096554e-15	0.6228647892343471	Read-In
ENSG00000009724.18	ENST00000400898.3	9.19246339442967	1.0683061677382981e-11	-0.9012732928330508	Read-In
ENSG00000010379.16	ENST00000534887.1	3.1283000386854183	0.003783636546780375	-1.083281004041332	Primary Induction
ENSG00000011083.9	ENST00000230671.7	1.7353021889502982	0.0007708503515022725	-5.497029113143756	Primary Induction
ENSG00000011275.19	ENST00000484458.2	2.6395104450833857	2.983993442488204e-22	-4.124607984505937	Primary Induction
ENSG00000011332.22	ENST00000488378.1	2.6597361427473567	4.613672135076186e-09	-4.766661517530924	Primary Induction
ENSG00000012171.20	ENST00000434030.1	2.4236982618759724	0.00639523669067526	-2.5441387674016176	Primary Induction
ENSG00000015133.20	ENST00000555995.1	1.5850245589010563	1.651079194072899e-09	-6.25833527796791	Primary Induction
ENSG00000018625.15	ENST00000459972.1	3.4349526820046496	2.8998259716544057e-05	-4.430968829944373	Primary Induction
ENSG00000022567.10	ENST00000024061.7	2.7606352582835902	6.532473319801824e-14	-4.637995566011805	Primary Induction
ENSG00000026559.14	ENST00000506387.1	6.211695174312103	7.792961275550527e-08	-2.763249954035172	Primary Induction
ENSG00000032742.18	ENST00000461115.5	1.5250089102708293	2.033883598645302e-09	-2.5910802464128806	Primary Induction
ENSG00000036549.13	ENST00000458763.2	2.143185285534173	5.621397023857313e-17	-4.9755605673300245	Primary Induction
ENSG00000038427.16	ENST00000513016.5	1.7898677477146714	0.03507660367347189	-3.6249239021442663	Primary Induction
ENSG00000039987.7	ENST00000552539.1	6.53404740153866	3.3854136928468524e-11	-0.8346200030001221	Read-In
ENSG00000040531.16	ENST00000046640.9	2.305694657918894	1.2490449837288012e-17	-2.3712124889517385	Primary Induction
ENSG00000048471.14	ENST00000568359.1	2.409909082156519	2.596216014481649e-09	-5.416651781365548	Primary Induction
ENSG00000049246.15	ENST00000473653.1	2.3375962528961423	2.4197841218664638e-05	-5.115216014525919	Primary Induction
ENSG00000050165.19	ENST00000531309.1	7.965929647299843	2.7349839883114713e-08	-2.77405416124169	Primary Induction
ENSG00000050438.17	ENST00000546875.1	1.593740315411044	0.0021629898371473073	-2.6967685762626723	Primary Induction
ENSG00000052749.14	ENST00000487612.1	1.1633841353696328	5.391032204440807e-05	-3.87853943572065	Primary Induction
ENSG00000052795.13	ENST00000505130.1	1.6584305520201117	3.043099069491482e-07	-2.1099373125520278	Primary Induction
ENSG00000053108.18	ENST00000511375.1	7.115685216365637	4.788669072161948e-10	-1.4912038719335707	Primary Induction
ENSG00000053702.15	ENST00000337508.9	3.719227220674495	2.9879441087081725e-14	0.6484208581666655	Read-In
ENSG00000054523.20	ENST00000470616.1	1.0543331569582093	0.0011498156082394794	-3.995707612966058	Primary Induction
ENSG00000054611.14	ENST00000486163.5	1.3974937180913578	9.80536959524476e-05	-2.8639329336785093	Primary Induction
ENSG00000054965.11	ENST00000064778.8	1.2030203878761807	1.5862255066010647e-06	-2.915276111935152	Primary Induction
ENSG00000056586.16	ENST00000398671.2	1.2513560896177014	3.006986240744727e-05	-6.490543927590156	Primary Induction
ENSG00000057704.13	ENST00000552239.1	4.92740216296274	5.805970198249021e-38	-3.9434894014045048	Primary Induction
ENSG00000058404.21	ENST00000466584.5	5.256054341154228	1.504310033954647e-14	-5.54826648594654	Primary Induction
ENSG00000059145.19	ENST00000562537.1	2.588234478827113	1.4097727814695847e-15	-9.873614348109314	Primary Induction
ENSG00000059769.20	ENST00000463589.5	1.7487510430361832	9.357321501893063e-18	-4.624210093130849	Primary Induction
ENSG00000060069.18	ENST00000585951.1	6.241490436061603	3.1753729204532628e-65	-10.192849716497099	Primary Induction
ENSG00000060718.22	ENST00000470170.1	7.801865399427191	1.8048205778487827e-09	-4.589517450518778	Primary Induction
ENSG00000063015.21	ENST00000535262.1	6.618431217302389	3.786017902152136e-07	-7.19409290725532	Primary Induction
ENSG00000063854.13	ENST00000564445.5	1.9488478699997969	2.557249413329993e-11	-0.8582059385069103	Read-In
ENSG00000064042.18	ENST00000505705.1	5.193203894181922	2.822357396362577e-09	-3.5844170225316034	Primary Induction
ENSG00000064218.5	ENST00000417254.1	4.55114464989338	0.032414432739221274	-2.1101190471977462	Primary Induction
ENSG00000064300.9	ENST00000172229.8	5.524559506531278	6.277614075735917e-25	-4.847056048335029	Primary Induction
ENSG00000065154.12	ENST00000483711.1	2.9222162265743536	8.240920392801475e-05	-3.9881037910333688	Primary Induction
ENSG00000065361.17	ENST00000682873.1	6.91255726857368	1.3553445195775869e-12	-1.3698339773272714	Primary Induction
ENSG00000065491.8	ENST00000373491.3	1.8752160285646533	1.5106407080969445e-25	-4.366219744821665	Primary Induction
ENSG00000065618.21	ENST00000433822.1	3.4126522347974952	7.225270318188942e-10	-3.5267844364149536	Primary Induction
ENSG00000065621.15	ENST00000450629.6	3.2770192337916164	2.6793360886131383e-16	-5.117895217231343	Primary Induction
