Gene ID	Transcript ID	log2FoldChange	padj	dBGLF5_Late Read-In vs. Gene	Assignment
ENSG00000001460.18	ENST00000475760.1	6.244501015729552	1.4727132649467868e-26	-4.579399033357594	Primary Induction
ENSG00000001626.18	ENST00000699606.1	9.605155751341464	1.1786253059566686e-15	-2.5232196934432336	Primary Induction
ENSG00000003393.16	ENST00000680404.1	2.7924481137909525	2.135251850307086e-33	-5.930961430064789	Primary Induction
ENSG00000004799.8	ENST00000473796.1	5.2864219453386845	3.469213760038243e-15	-2.736640594591519	Primary Induction
ENSG00000004809.14	ENST00000460159.1	4.1112940170827965	0.0014681805149593039	-2.249935188731434	Primary Induction
ENSG00000005884.18	ENST00000506437.1	2.572247114353676	2.4870967695908506e-08	-5.943235103441697	Primary Induction
ENSG00000005961.19	ENST00000587295.5	6.122202981505404	2.585688177438121e-10	-3.8081980228603305	Primary Induction
ENSG00000006042.12	ENST00000583120.1	8.060611652507097	2.287795069988605e-09	-2.4020089846500965	Primary Induction
ENSG00000006459.11	ENST00000478996.1	2.8115588788089103	6.471611814224646e-08	-4.125759631302788	Primary Induction
ENSG00000006704.11	ENST00000486086.1	2.2551937712936128	0.012766938556621992	-2.286352067011607	Primary Induction
ENSG00000006837.12	ENST00000522501.1	3.4836738527101248	3.1091813551597295e-52	-1.2791661754527963	Primary Induction
ENSG00000007384.15	ENST00000493647.1	4.2553879612644785	2.7446567616645984e-09	-5.496700823129518	Primary Induction
ENSG00000007545.16	ENST00000498594.5	1.2757968167349265	0.0006697444607728385	-2.6156348624828487	Primary Induction
ENSG00000009724.18	ENST00000400898.3	7.929773858173037	3.904476450091485e-09	-0.0258762335453655	Read-In
ENSG00000010438.17	ENST00000495682.1	6.976982878042017	1.0015193392926105e-06	-3.977672125255809	Primary Induction
ENSG00000011258.16	ENST00000586898.1	1.0890163160454671	0.0003552131569453123	-3.248850416812778	Primary Induction
ENSG00000011465.18	ENST00000548218.1	3.418541257424677	0.03265717091380324	-1.1122711670557257	Primary Induction
ENSG00000011566.15	ENST00000479708.1	2.18154411210593	1.1362927238593945e-05	-3.2246426609863748	Primary Induction
ENSG00000013275.8	ENST00000601194.1	5.2627469743730195	0.004564871812169314	-4.70893947415288	Primary Induction
ENSG00000013583.10	ENST00000540916.1	3.768015073532498	4.7077813761306403e-07	-1.666685240435482	Primary Induction
ENSG00000014257.17	ENST00000507647.1	1.5957344557059363	0.0017624121713180512	-1.7569578463706652	Primary Induction
ENSG00000018625.15	ENST00000459972.1	4.543934423578037	1.16023133736357e-08	-3.7180644643410488	Primary Induction
ENSG00000022267.19	ENST00000630677.1	1.7662474570080164	0.038789298710809904	-1.6315434194773275	Primary Induction
ENSG00000032742.18	ENST00000461115.5	2.5495589828479264	5.807528647207597e-25	-3.1765938702042216	Primary Induction
ENSG00000036549.13	ENST00000458763.2	2.0706273978745733	1.2406886609320972e-15	-4.589710089417664	Primary Induction
ENSG00000039987.7	ENST00000552539.1	5.883935137839678	2.147056790788358e-09	-1.7138449727703122	Primary Induction
ENSG00000040531.16	ENST00000046640.9	1.0227979459755474	0.0002076693544152584	-0.25093712038776683	Read-In
ENSG00000041353.10	ENST00000592334.1	6.5314304414244235	2.6019896317799198e-21	-2.3849351439114237	Primary Induction
ENSG00000042317.17	ENST00000553303.1	1.7096156652152776	0.0003907352663159094	-2.194846659954778	Primary Induction
ENSG00000042832.12	ENST00000522691.1	6.4028712989437935	3.931696919323597e-06	-1.6627619538521294	Primary Induction
ENSG00000042980.14	ENST00000518737.1	5.567057883379847	1.6012914444957037e-11	-2.993543569578656	Primary Induction
ENSG00000048471.14	ENST00000568359.1	1.7718846515107467	1.269146233877545e-05	-4.27977159571629	Primary Induction
ENSG00000050165.19	ENST00000531309.1	8.757286894768033	4.699584181142146e-10	-2.125461015486298	Primary Induction
ENSG00000052795.13	ENST00000505130.1	1.641560665867956	2.925992164736592e-07	-2.400698780603236	Primary Induction
ENSG00000054965.11	ENST00000064778.8	1.2765581832370558	2.1400749059037442e-07	-1.8092982771790345	Primary Induction
ENSG00000056586.16	ENST00000398671.2	1.1868591603403058	7.546555610500266e-05	-6.340566501155273	Primary Induction
ENSG00000057294.18	ENST00000546769.1	2.3337701378582403	0.04409399704035601	-3.913138887176332	Primary Induction
ENSG00000057704.13	ENST00000552239.1	3.411402342439472	1.589735056083505e-17	-1.2431235037590491	Primary Induction
ENSG00000059145.19	ENST00000562537.1	2.2025121701626738	1.0895940194125617e-11	-8.640932575906358	Primary Induction
ENSG00000059769.20	ENST00000463589.5	1.7047149046426031	3.433759918826978e-17	-3.02147799883992	Primary Induction
ENSG00000060069.18	ENST00000585951.1	5.004444133411488	6.1044063197017514e-43	-7.964711914296889	Primary Induction
ENSG00000060718.22	ENST00000470170.1	10.488292011704958	8.532893979227671e-17	-5.879847490203916	Primary Induction
ENSG00000062038.15	ENST00000569036.2	8.01346744614334	4.018077355082815e-10	-2.061524342639097	Primary Induction
ENSG00000063015.21	ENST00000535262.1	6.28477652400903	1.099410569026109e-06	-3.564339535672569	Primary Induction
ENSG00000063127.16	ENST00000594917.1	1.2924018125822248	0.0011056424454814805	-2.6851766175768192	Primary Induction
ENSG00000064042.18	ENST00000505705.1	6.645923299217488	5.723238799522778e-15	-2.579709682508848	Primary Induction
ENSG00000064218.5	ENST00000417254.1	5.575979150116973	0.006483044261882936	-2.5286311777439123	Primary Induction
ENSG00000064309.16	ENST00000683597.1	4.836133194641995	1.1516982219828421e-36	-2.575407278442782	Primary Induction
ENSG00000065361.17	ENST00000682873.1	5.926721786340482	9.818709207756098e-10	-1.4184265475923032	Primary Induction
ENSG00000065491.8	ENST00000373491.3	1.293693871517013	6.55050484827902e-13	-2.2781778749457	Primary Induction
ENSG00000065618.21	ENST00000433822.1	3.2146455876904287	1.5446584727230224e-08	-1.3299692668664287	Primary Induction
ENSG00000067798.16	ENST00000547884.1	7.652024985269016	2.6064988908273788e-08	-2.4100296918621398	Primary Induction
ENSG00000068724.18	ENST00000496991.3	1.2169507240993804	0.0002649537625945455	-3.5894869236739178	Primary Induction
ENSG00000068976.14	ENST00000462303.1	5.156287021092903	1.8413808838265748e-05	-1.420086310374943	Primary Induction
