ID	Length	WT_08.Aligned.sortedByCoord.out
ENSG00000230795.3	4499	122.5
ENSG00000132436.13	7999	215.5
ENSG00000137713.16	11499	153.5
ENSG00000269921.1	8499	147.0
ENSG00000235852.1	6999	166.5
ENSG00000175893.12	6999	354.0
ENSG00000127191.18	8499	160.0
ENSG00000197888.3	13999	523.0
ENSG00000180626.10	5499	127.0
ENSG00000136436.15	4499	43.0
ENSG00000290924.1	4499	57.0
ENSG00000275074.2	5999	97.5
ENSG00000247134.8	3999	56.5
ENSG00000290989.1	7999	197.0
ENSG00000132842.15	6999	83.0
ENSG00000188848.17	5499	61.0
ENSG00000187742.15	7499	170.5
ENSG00000085999.13	8499	97.0
ENSG00000226659.2	5999	109.5
ENSG00000167083.7	3999	34.0
ENSG00000133275.16	8999	222.0
ENSG00000141428.17	4999	55.0
ENSG00000290086.1	8499	111.0
ENSG00000248866.1	4999	118.5
ENSG00000226779.1	20999	3041.0
ENSG00000180712.5	40662	4150.5
ENSG00000102158.22	4499	56.5
ENSG00000243960.1	4499	70.0
ENSG00000039123.16	11499	151.5
ENSG00000123600.21	4499	78.5
ENSG00000122359.18	6499	114.0
ENSG00000267257.1	26999	1041.0
ENSG00000149634.5	4499	133.0
ENSG00000167625.12	4999	110.5
ENSG00000257222.1	18499	331.5
ENSG00000152689.18	6999	183.5
ENSG00000115561.16	4999	153.5
ENSG00000140950.16	3999	43.0
ENSG00000120280.6	6999	257.5
ENSG00000119509.13	11999	568.5
ENSG00000237638.3	26999	1159.0
ENSG00000290100.1	3999	62.0
ENSG00000162924.16	11999	410.0
ENSG00000253666.4	7499	143.5
ENSG00000107036.12	17499	310.5
ENSG00000000460.17	5499	129.0
ENSG00000130675.15	4499	39.0
ENSG00000290888.1	7999	89.0
ENSG00000115942.9	6499	89.5
ENSG00000120725.13	6499	112.5
ENSG00000161791.14	13999	264.5
ENSG00000069493.15	6999	95.0
ENSG00000130303.14	6999	160.5
ENSG00000154124.6	16999	1227.0
ENSG00000225377.6	4999	60.5
ENSG00000156110.15	4999	45.5
ENSG00000189362.12	5499	98.5
ENSG00000291120.1	7999	128.0
ENSG00000164933.13	7499	157.0
ENSG00000177409.12	5499	70.5
ENSG00000167721.11	4499	101.5
ENSG00000054967.13	20999	587.5
ENSG00000259891.1	3999	43.0
ENSG00000262454.4	4499	32.5
ENSG00000291118.1	3999	42.0
ENSG00000152455.16	10499	400.0
ENSG00000288899.1	10499	628.0
ENSG00000162241.13	4499	147.0
ENSG00000261766.1	6999	149.0
ENSG00000242444.4	5499	271.0
ENSG00000235366.3	18999	1314.0
ENSG00000286546.1	7999	465.5
ENSG00000196670.14	3999	110.0
ENSG00000227090.1	19999	331.0
ENSG00000289053.2	3999	41.0
ENSG00000136738.15	7999	106.5
ENSG00000139190.17	9499	172.5
ENSG00000277369.2	5499	68.0
ENSG00000108639.8	3999	97.5
ENSG00000154262.13	8499	676.0
ENSG00000160392.14	5999	103.0
