ID	Length	WT_09.Aligned.sortedByCoord.out
ENSG00000165280.18	9499	0.88
ENSG00000237181.2	4499	1.01
ENSG00000246560.3	6999	1.04
ENSG00000263080.1	6499	2.16
ENSG00000182541.18	6999	1.07
ENSG00000075240.17	15499	1.15
ENSG00000114850.7	15999	0.85
ENSG00000170144.22	41499	1.94
ENSG00000088888.18	7499	0.91
ENSG00000177830.18	10999	2.21
ENSG00000178297.15	3999	1.09
ENSG00000198026.8	13499	1.16
ENSG00000230033.1	5999	3.44
ENSG00000286837.1	3999	0.43
ENSG00000120458.13	13499	0.76
ENSG00000143622.12	8499	0.85
ENSG00000180667.11	3999	0.43
ENSG00000171307.19	5999	0.47
ENSG00000131828.14	9499	0.91
ENSG00000165650.12	9999	1.0
ENSG00000213413.3	13999	1.9
ENSG00000196357.12	6999	0.61
ENSG00000146223.16	6999	0.45
ENSG00000186815.13	11499	1.49
ENSG00000185404.17	4499	1.47
ENSG00000205056.9	16999	0.97
ENSG00000151532.15	8999	0.95
ENSG00000010310.9	4999	0.69
ENSG00000097007.20	7499	0.79
ENSG00000049089.15	4999	0.41
ENSG00000227598.1	7999	0.61
ENSG00000178921.14	8499	1.09
ENSG00000115942.9	19499	1.11
ENSG00000101365.21	8499	0.56
ENSG00000243960.1	4499	0.73
ENSG00000115486.13	9499	3.95
ENSG00000169684.13	7499	0.83
ENSG00000164985.15	5499	1.05
ENSG00000180329.14	6999	1.76
ENSG00000085662.14	4999	0.3
ENSG00000087237.12	8999	1.5
ENSG00000115325.14	6999	0.67
ENSG00000287077.1	4499	0.6
ENSG00000125970.12	16499	0.71
ENSG00000122026.11	15499	1.3
ENSG00000272606.2	20999	0.73
ENSG00000075131.10	3999	1.19
ENSG00000125910.6	4999	1.59
ENSG00000258890.8	9999	2.02
ENSG00000136930.13	9499	2.78
ENSG00000293104.1	16499	0.92
ENSG00000125726.11	4999	1.24
ENSG00000136059.16	6999	0.77
ENSG00000115556.14	3999	0.57
