ID	Length	WT_03.Aligned.sortedByCoord.out	WT_04.Aligned.sortedByCoord.out	WT_05.Aligned.sortedByCoord.out	WT_08.Aligned.sortedByCoord.out	WT_09.Aligned.sortedByCoord.out	WT_10.Aligned.sortedByCoord.out	WT_13.Aligned.sortedByCoord.out	WT_14.Aligned.sortedByCoord.out	WT_15.Aligned.sortedByCoord.out	WT_18.Aligned.sortedByCoord.out	WT_19.Aligned.sortedByCoord.out	WT_20.Aligned.sortedByCoord.out	WT_23.Aligned.sortedByCoord.out	WT_24.Aligned.sortedByCoord.out	WT_25.Aligned.sortedByCoord.out	dBGLF5_02.Aligned.sortedByCoord.out	dBGLF5_03.Aligned.sortedByCoord.out	dBGLF5_04.Aligned.sortedByCoord.out	dBGLF5_06.Aligned.sortedByCoord.out	dBGLF5_07.Aligned.sortedByCoord.out	dBGLF5_08.Aligned.sortedByCoord.out	dBGLF5_10.Aligned.sortedByCoord.out	dBGLF5_11.Aligned.sortedByCoord.out	dBGLF5_12.Aligned.sortedByCoord.out
ENSG00000164011.18	6999	0.48	0.45	0.13	0.33	0.38	0.09	0.44	0.61	0.11	0.41	0.33	0.15	0.39	0.4	0.2	0.44	0.13	0.21	0.24	0.14	0.13	0.43	0.14	0.11
ENSG00000265799.1	31499	0.05	1.0	0.18	0.06	0.84	0.18	0.06	0.75	0.16	0.06	0.95	0.13	0.05	0.94	0.21	0.05	0.39	0.17	0.08	0.4	0.3	0.06	0.58	0.25
ENSG00000223986.1	4499	0.0	0.14	0.04	0.01	0.03	0.02	0.04	0.12	0.08	0.02	0.03	0.05	0.03	0.11	0.07	0.02	0.19	0.45	0.01	0.21	0.28	0.04	0.19	0.18
ENSG00000270972.1	6499	0.01	0.32	0.08	0.05	0.19	0.04	0.06	0.33	0.07	0.0	0.72	0.05	0.03	0.68	0.12	0.02	0.1	0.04	0.0	0.12	0.06	0.02	0.05	0.04
ENSG00000197081.16	41999	0.12	1.18	0.14	0.23	1.74	0.13	0.16	0.72	0.16	0.2	1.59	1.19	0.23	1.46	0.2	0.13	0.7	0.21	0.16	1.84	0.25	0.16	0.97	0.22
ENSG00000136770.11	6999	0.22	0.07	0.05	0.1	0.04	0.04	0.09	0.05	0.02	0.25	0.09	0.05	0.34	0.07	0.05	0.17	0.15	0.12	0.24	0.09	0.05	0.55	0.19	0.2
ENSG00000179840.5	6499	0.04	1.41	0.12	0.03	1.13	0.04	0.07	1.2	0.12	0.02	1.37	0.14	0.05	0.95	0.11	0.09	0.71	0.15	0.07	0.49	0.38	0.04	0.58	0.35
ENSG00000223993.2	4999	0.0	0.35	0.19	0.02	0.17	0.2	0.01	0.21	0.13	0.01	0.05	0.08	0.0	0.22	0.16	0.01	0.46	1.39	0.0	0.54	0.93	0.02	0.44	0.78
ENSG00000252755.1	5499	0.03	0.7	0.28	0.09	0.86	0.24	0.11	0.88	0.24	0.05	0.54	0.32	0.06	1.01	0.26	0.05	0.55	0.18	0.1	0.43	0.15	0.03	0.32	0.3
ENSG00000150459.13	20999	0.01	0.43	0.14	0.02	0.31	0.04	0.01	0.48	0.05	0.01	0.88	0.08	0.03	0.99	0.13	0.03	0.89	0.15	0.04	0.77	0.12	0.03	1.0	0.18
ENSG00000103550.14	16401	0.32	0.22	0.07	0.33	0.27	0.05	0.37	0.3	0.07	0.36	0.32	0.07	0.34	0.3	0.07	0.24	0.41	0.1	0.27	0.41	0.21	0.39	0.56	0.18
