ID	Length	dBGLF5_07.Aligned.sortedByCoord.out
ENSG00000140941.14	11499	519.5
ENSG00000221806.1	4999	89.0
ENSG00000271283.1	9999	145.0
ENSG00000258159.1	4999	56.5
ENSG00000230438.9	13999	589.5
ENSG00000100220.12	6999	228.5
ENSG00000125726.11	4999	208.0
ENSG00000142655.13	3999	39.5
ENSG00000259780.3	4499	46.0
ENSG00000134905.17	14999	649.0
ENSG00000168495.13	5499	144.0
ENSG00000184277.13	4999	59.5
ENSG00000142937.12	4999	87.5
ENSG00000165650.12	3999	62.0
ENSG00000095564.15	4499	68.5
ENSG00000145494.12	14999	1203.0
ENSG00000185049.16	4499	83.5
ENSG00000228474.6	9999	249.5
ENSG00000100664.11	3999	94.5
ENSG00000064995.19	8499	203.0
ENSG00000000460.17	5499	77.0
ENSG00000287393.1	4499	51.0
ENSG00000095319.14	8999	125.0
ENSG00000121957.15	4499	82.5
ENSG00000142676.14	11499	166.0
ENSG00000105373.19	7999	110.5
ENSG00000118514.14	5999	91.0
ENSG00000136861.19	8999	255.0
ENSG00000175756.14	8499	105.0
ENSG00000131153.9	4499	70.5
ENSG00000153487.13	9999	242.5
ENSG00000109381.21	8499	99.5
ENSG00000261766.1	5999	159.5
ENSG00000235366.3	6999	130.5
ENSG00000279884.1	9499	149.0
ENSG00000254418.1	5499	228.0
ENSG00000198026.8	12499	307.0
ENSG00000241258.7	12499	233.5
ENSG00000197728.11	6499	131.0
ENSG00000125835.20	4999	61.0
ENSG00000260282.1	3999	59.5
ENSG00000155229.21	12999	301.5
ENSG00000101365.21	8499	101.5
ENSG00000102786.15	4999	55.0
ENSG00000235881.2	6999	115.5
ENSG00000178297.15	3999	88.5
ENSG00000287733.1	9499	1416.0
ENSG00000140259.7	4999	105.5
ENSG00000185127.7	3999	52.0
ENSG00000196652.12	3999	73.0
ENSG00000100982.12	4499	81.5
ENSG00000100364.19	5499	68.0
ENSG00000231654.1	8999	121.5
ENSG00000203993.7	5499	100.0
ENSG00000149084.13	10999	169.0
ENSG00000117000.9	4499	44.0
ENSG00000130363.13	12999	258.0
ENSG00000152689.18	5999	181.5
ENSG00000213793.6	5999	53.0
ENSG00000138081.22	4499	65.0
ENSG00000168228.16	5999	77.0
ENSG00000158545.16	8499	96.0
ENSG00000138326.21	4499	100.0
ENSG00000077238.14	4499	52.0
ENSG00000185947.15	10499	365.0
ENSG00000261707.1	3999	32.5
ENSG00000165678.22	8499	155.5
ENSG00000075420.13	14499	252.5
ENSG00000265678.1	26499	3875.0
ENSG00000126767.18	6499	125.5
ENSG00000134108.14	4499	47.5
ENSG00000131931.8	4999	191.5
ENSG00000186765.12	22499	1634.0
ENSG00000182149.21	5999	106.5
ENSG00000286646.2	3999	53.0
ENSG00000273456.2	5499	474.0
ENSG00000116903.7	9499	281.0
ENSG00000290812.1	5999	112.0
ENSG00000105246.6	10499	279.0
ENSG00000266072.1	13999	620.0
ENSG00000239494.2	4999	74.5
ENSG00000162511.8	5999	272.0
ENSG00000218233.1	7999	306.5
ENSG00000224424.8	7999	84.0
ENSG00000006704.11	4499	42.0
ENSG00000224220.1	4999	161.0
ENSG00000173726.11	13160	270.0
ENSG00000104783.15	5499	99.5
ENSG00000139278.10	5999	97.5
ENSG00000177239.16	4499	59.5
ENSG00000103037.12	4499	57.0
ENSG00000113300.13	11499	238.5
ENSG00000273703.2	3999	47.5
ENSG00000175467.15	7499	257.5
ENSG00000146426.19	5999	66.0
ENSG00000111196.10	3999	63.0
ENSG00000183684.8	9499	160.5
ENSG00000075131.10	3999	85.5
ENSG00000273162.1	22999	1678.5
ENSG00000150459.13	14999	251.0
ENSG00000172977.13	5499	139.0
ENSG00000092871.17	10499	289.0
ENSG00000156587.16	16499	577.0
ENSG00000163938.17	4499	121.5
ENSG00000100297.16	6499	124.5
ENSG00000197756.10	6499	122.5
ENSG00000183808.12	13999	292.5
ENSG00000075856.12	11499	384.0
ENSG00000137073.24	7999	141.5
ENSG00000132475.10	25499	1950.0
ENSG00000167658.16	4999	84.0
ENSG00000184937.16	3999	55.5
ENSG00000105656.13	4999	65.5
ENSG00000140612.14	4499	27.0
ENSG00000176809.11	12999	260.5
ENSG00000273597.1	4499	38.0
ENSG00000136930.13	16499	306.0
ENSG00000137496.19	9499	270.0
ENSG00000172543.9	7999	221.5
ENSG00000010244.19	19999	239.5
ENSG00000130303.14	11499	184.5
ENSG00000100162.15	6999	61.5
ENSG00000255819.7	3999	28.5
ENSG00000120725.13	6999	176.0
ENSG00000273319.1	4499	125.5
ENSG00000126226.22	13499	223.5
ENSG00000144535.20	4999	50.5
ENSG00000201659.1	7499	124.5
ENSG00000104131.13	13499	573.5
ENSG00000136813.15	10499	252.0
ENSG00000003756.17	5499	123.5
ENSG00000100416.15	3999	389.0
ENSG00000168126.3	12499	473.5
ENSG00000178057.15	6499	146.5
ENSG00000233223.5	18999	1512.0
ENSG00000080839.12	3999	87.0
ENSG00000289357.1	6499	176.5
ENSG00000175556.17	4499	123.5
ENSG00000185515.16	5499	67.0
ENSG00000187987.10	3999	39.0
ENSG00000103091.15	4999	41.0
ENSG00000156232.7	5999	91.5
ENSG00000185896.11	6999	151.0
ENSG00000188725.8	8499	122.0
ENSG00000272391.6	3999	133.0
ENSG00000258285.1	4499	153.5
ENSG00000171953.16	4499	127.5
ENSG00000270802.2	17999	308.0
ENSG00000289378.1	6999	119.0
ENSG00000228391.1	8999	124.0
ENSG00000176485.14	6499	89.5
ENSG00000170852.12	9999	173.5
