ID	Length	dBGLF5_11.Aligned.sortedByCoord.out
ENSG00000185947.15	15999	1.58
ENSG00000168036.18	6999	0.44
ENSG00000273344.2	4499	0.3
ENSG00000178999.13	13609	0.68
ENSG00000140941.14	10999	3.15
ENSG00000137054.16	7499	1.69
ENSG00000161664.7	12999	2.39
ENSG00000226386.1	24499	0.89
ENSG00000100296.14	3999	0.71
ENSG00000196787.4	6499	0.67
ENSG00000235371.1	10999	0.49
ENSG00000221806.1	4999	0.74
ENSG00000143776.20	7499	0.82
ENSG00000171953.16	3999	1.64
ENSG00000170949.18	8999	0.69
ENSG00000287697.1	9999	0.62
ENSG00000054654.20	34499	3.87
ENSG00000198586.14	7999	1.23
ENSG00000182541.18	7499	0.65
ENSG00000164050.13	3999	0.55
ENSG00000205659.12	9499	0.99
ENSG00000138674.17	9999	0.69
ENSG00000179523.7	4499	0.34
ENSG00000172943.21	7499	0.96
ENSG00000119231.11	7499	1.92
ENSG00000289155.2	17999	0.79
ENSG00000075413.19	7999	0.77
ENSG00000197728.11	31999	1.01
ENSG00000213380.16	8499	1.65
ENSG00000137200.13	14999	1.02
ENSG00000125691.14	5999	0.9
ENSG00000286013.1	4499	1.11
ENSG00000171503.13	9999	3.62
ENSG00000287868.1	4999	0.49
ENSG00000106266.11	6499	1.21
ENSG00000102054.18	7499	0.65
ENSG00000038210.14	19499	0.62
ENSG00000138594.14	13999	0.55
ENSG00000256249.1	7999	0.42
ENSG00000289372.2	5499	0.66
ENSG00000234699.1	8499	0.77
ENSG00000146963.18	3999	0.25
ENSG00000261386.2	5999	0.5
ENSG00000139233.7	6999	0.94
ENSG00000164219.10	4999	0.38
ENSG00000113595.15	11999	0.99
ENSG00000048544.6	19499	0.74
ENSG00000119318.13	16999	0.93
ENSG00000186638.17	6499	0.5
ENSG00000199325.1	4999	0.79
ENSG00000171824.14	6499	1.61
ENSG00000100220.12	6499	2.22
ENSG00000236844.1	21499	1.29
ENSG00000133112.17	13499	1.18
ENSG00000225225.1	5499	0.38
ENSG00000198089.16	21999	0.82
ENSG00000288899.1	10499	2.44
ENSG00000184988.8	7999	1.64
ENSG00000261096.1	5499	0.66
ENSG00000159479.17	15499	2.27
ENSG00000108639.8	12999	1.39
ENSG00000092931.12	8499	1.57
ENSG00000100941.9	14499	0.85
ENSG00000198160.15	18499	0.8
ENSG00000253603.1	4499	0.36
ENSG00000011007.13	3999	0.61
ENSG00000114902.14	3999	0.88
ENSG00000133858.17	30499	1.26
ENSG00000290165.1	6999	0.67
ENSG00000276071.1	10499	1.23
ENSG00000149182.15	23499	0.98
ENSG00000116691.11	28999	2.58
ENSG00000134905.17	14499	3.3
ENSG00000068079.8	6999	0.95
ENSG00000214106.9	3999	0.79
ENSG00000167721.11	4999	1.3
ENSG00000222806.1	5999	2.95
ENSG00000230532.1	5499	1.69
ENSG00000236529.2	4999	0.77
ENSG00000078898.7	28999	0.9
ENSG00000159720.13	6499	0.59
ENSG00000121766.16	9499	0.83
ENSG00000186635.16	7499	0.45
ENSG00000198373.13	3999	0.53
ENSG00000239544.1	6999	0.44
ENSG00000272263.1	5499	0.79
ENSG00000277157.2	3999	0.68
ENSG00000287077.1	4499	0.64
ENSG00000147475.17	3999	0.7
ENSG00000261385.1	6499	0.44
ENSG00000198171.13	6499	1.25
ENSG00000156232.7	4999	1.28
ENSG00000284934.3	4999	1.88
ENSG00000075239.14	7999	0.48
ENSG00000111863.13	7499	0.58
ENSG00000185869.15	5999	0.46
ENSG00000105695.15	4999	0.24
ENSG00000213995.12	6999	2.02
ENSG00000232999.1	5499	1.6
ENSG00000163013.12	6999	0.51
ENSG00000090487.11	14499	2.45
ENSG00000266099.1	6499	1.36
ENSG00000172667.11	15999	0.94
ENSG00000253636.1	5999	0.81
ENSG00000177613.9	5999	0.81
ENSG00000130254.12	5499	0.38
ENSG00000107185.10	7999	0.97
ENSG00000235897.1	3999	0.39
ENSG00000133026.14	4499	1.62
ENSG00000104783.15	7499	1.15
ENSG00000256189.1	5499	0.36
ENSG00000241859.8	3999	1.11
ENSG00000168028.15	11499	0.68
ENSG00000132603.15	3999	0.48
ENSG00000004766.17	5999	0.8
ENSG00000143337.19	4499	0.4
ENSG00000130347.13	3999	0.51
ENSG00000163950.13	3999	0.32
ENSG00000293360.1	9999	1.54
ENSG00000132475.10	29499	5.35
ENSG00000165526.9	8999	0.48
ENSG00000164500.7	3999	0.37
ENSG00000100100.13	3999	0.55
ENSG00000187736.14	7999	0.49
ENSG00000097007.20	7499	0.4
ENSG00000173726.11	13660	1.32
ENSG00000289112.2	3999	0.89
ENSG00000143622.12	18999	0.83
ENSG00000270679.1	11499	0.5
ENSG00000163704.13	4499	0.38
ENSG00000171357.6	6499	0.57
ENSG00000204842.18	14499	0.54
ENSG00000271361.1	3999	0.95
ENSG00000287494.1	3999	0.26
ENSG00000164776.11	4499	1.9
ENSG00000151503.14	10499	0.61
ENSG00000257702.5	4499	3.13
ENSG00000130775.16	11999	0.66
ENSG00000124251.11	19499	1.01
ENSG00000183808.12	13499	1.99
ENSG00000109475.17	6499	0.55
