"ENSEMBL","Category"
"ENSG00000000419","BGLF5-Independent"
"ENSG00000000457","BGLF5-Independent"
"ENSG00000000460","BGLF5-Independent"
"ENSG00000001036","BGLF5-Independent"
"ENSG00000001084","BGLF5-Independent"
"ENSG00000001167","Escapee"
"ENSG00000001461","BGLF5-Independent"
"ENSG00000001497","Both"
"ENSG00000001561","BGLF5-Independent"
"ENSG00000001629","BGLF5-Independent"
"ENSG00000001630","Both"
"ENSG00000001631","BGLF5-Independent"
"ENSG00000002016","BGLF5-Independent"
"ENSG00000002330","BGLF5-Independent"
"ENSG00000002549","Both"
"ENSG00000002822","BGLF5-Independent"
"ENSG00000002834","BGLF5-Independent"
"ENSG00000002919","BGLF5-Independent"
"ENSG00000003056","BGLF5-Independent"
"ENSG00000003393","Escapee"
"ENSG00000003402","BGLF5-Independent"
"ENSG00000003509","BGLF5-Independent"
"ENSG00000003756","BGLF5-Independent"
"ENSG00000004059","BGLF5-Independent"
"ENSG00000004139","BGLF5-Independent"
"ENSG00000004142","BGLF5-Independent"
"ENSG00000004455","Both"
"ENSG00000004478","BGLF5-Independent"
"ENSG00000004487","BGLF5-Independent"
"ENSG00000004534","BGLF5-Independent"
"ENSG00000004700","BGLF5-Independent"
"ENSG00000004766","BGLF5-Independent"
"ENSG00000004779","BGLF5-Independent"
"ENSG00000004864","BGLF5-Independent"
"ENSG00000004866","BGLF5-Independent"
"ENSG00000004897","Both"
"ENSG00000004961","BGLF5-Independent"
"ENSG00000004975","BGLF5-Independent"
"ENSG00000005007","BGLF5-Independent"
"ENSG00000005020","Both"
"ENSG00000005022","Both"
"ENSG00000005059","Both"
"ENSG00000005075","BGLF5-Independent"
"ENSG00000005100","BGLF5-Independent"
"ENSG00000005156","BGLF5-Independent"
"ENSG00000005175","Both"
"ENSG00000005187","Both"
"ENSG00000005189","Escapee"
"ENSG00000005194","BGLF5-Independent"
"ENSG00000005206","BGLF5-Independent"
"ENSG00000005302","Both"
"ENSG00000005339","Escapee"
"ENSG00000005379","Escapee"
"ENSG00000005436","BGLF5-Independent"
"ENSG00000005448","BGLF5-Independent"
"ENSG00000005483","BGLF5-Independent"
"ENSG00000005700","Both"
"ENSG00000005801","BGLF5-Independent"
"ENSG00000005810","BGLF5-Independent"
"ENSG00000005812","BGLF5-Independent"
"ENSG00000005882","BGLF5-Independent"
"ENSG00000005884","Escapee"
"ENSG00000005889","BGLF5-Independent"
"ENSG00000005893","BGLF5-Independent"
"ENSG00000006007","BGLF5-Independent"
"ENSG00000006015","BGLF5-Independent"
"ENSG00000006025","BGLF5-Independent"
"ENSG00000006062","BGLF5-Independent"
"ENSG00000006125","BGLF5-Independent"
"ENSG00000006194","BGLF5-Independent"
"ENSG00000006451","BGLF5-Independent"
"ENSG00000006530","Both"
"ENSG00000006576","BGLF5-Independent"
"ENSG00000006607","BGLF5-Independent"
"ENSG00000006625","BGLF5-Independent"
"ENSG00000006634","BGLF5-Independent"
"ENSG00000006652","BGLF5-Independent"
"ENSG00000006695","BGLF5-Independent"
"ENSG00000006712","BGLF5-Independent"
"ENSG00000006715","BGLF5-Independent"
"ENSG00000006744","BGLF5-Independent"
"ENSG00000006757","BGLF5-Independent"
"ENSG00000006831","BGLF5-Independent"
"ENSG00000007047","BGLF5-Independent"
"ENSG00000007080","Escapee"
"ENSG00000007168","BGLF5-Independent"
"ENSG00000007202","BGLF5-Independent"
"ENSG00000007255","BGLF5-Independent"
"ENSG00000007312","BGLF5-Independent"
"ENSG00000007341","BGLF5-Independent"
"ENSG00000007376","BGLF5-Independent"
"ENSG00000007392","BGLF5-Independent"
"ENSG00000007520","BGLF5-Independent"
"ENSG00000007541","BGLF5-Independent"
"ENSG00000007545","Escapee"
"ENSG00000007923","BGLF5-Independent"
"ENSG00000007944","BGLF5-Independent"
"ENSG00000008018","Both"
"ENSG00000008128","Escapee"
"ENSG00000008130","Escapee"
"ENSG00000008277","BGLF5-Independent"
"ENSG00000008282","BGLF5-Independent"
"ENSG00000008294","BGLF5-Independent"
"ENSG00000008311","BGLF5-Independent"
"ENSG00000008324","BGLF5-Independent"
"ENSG00000008382","BGLF5-Independent"
"ENSG00000008710","Escapee"
"ENSG00000008838","BGLF5-Independent"
"ENSG00000008853","BGLF5-Independent"
"ENSG00000008869","BGLF5-Independent"
"ENSG00000008952","BGLF5-Independent"
"ENSG00000008988","BGLF5-Independent"
"ENSG00000009307","Both"
"ENSG00000009335","BGLF5-Independent"
"ENSG00000009413","BGLF5-Independent"
"ENSG00000009780","BGLF5-Independent"
"ENSG00000009790","Both"
"ENSG00000009830","BGLF5-Independent"
"ENSG00000009844","BGLF5-Independent"
"ENSG00000009954","BGLF5-Independent"
"ENSG00000010017","BGLF5-Independent"
"ENSG00000010072","BGLF5-Independent"
"ENSG00000010165","BGLF5-Independent"
"ENSG00000010219","BGLF5-Independent"
"ENSG00000010244","BGLF5-Independent"
"ENSG00000010256","Both"
"ENSG00000010270","Both"
"ENSG00000010278","BGLF5-Independent"
"ENSG00000010292","BGLF5-Independent"
"ENSG00000010295","BGLF5-Independent"
"ENSG00000010322","BGLF5-Independent"
"ENSG00000010361","BGLF5-Independent"
"ENSG00000010404","Both"
"ENSG00000010539","BGLF5-Independent"
"ENSG00000010626","BGLF5-Independent"
"ENSG00000010671","BGLF5-Independent"
"ENSG00000010803","BGLF5-Independent"
"ENSG00000010818","BGLF5-Independent"
"ENSG00000011007","BGLF5-Independent"
"ENSG00000011009","BGLF5-Independent"
"ENSG00000011021","BGLF5-Independent"
"ENSG00000011052","Escapee"
"ENSG00000011114","BGLF5-Independent"
"ENSG00000011132","BGLF5-Independent"
"ENSG00000011143","BGLF5-Independent"
"ENSG00000011198","BGLF5-Independent"
"ENSG00000011243","BGLF5-Independent"
"ENSG00000011258","Escapee"
"ENSG00000011260","Both"
"ENSG00000011275","BGLF5-Independent"
"ENSG00000011295","BGLF5-Independent"
"ENSG00000011304","BGLF5-Independent"
"ENSG00000011332","Escapee"
"ENSG00000011376","Both"
"ENSG00000011405","BGLF5-Independent"
"ENSG00000011426","BGLF5-Independent"
"ENSG00000011451","BGLF5-Independent"
"ENSG00000011478","BGLF5-Independent"
"ENSG00000011485","BGLF5-Independent"
"ENSG00000011566","Escapee"
"ENSG00000012048","BGLF5-Independent"
"ENSG00000012061","BGLF5-Independent"
"ENSG00000012174","BGLF5-Independent"
"ENSG00000012232","BGLF5-Independent"
"ENSG00000012660","BGLF5-Independent"
"ENSG00000012817","BGLF5-Independent"
"ENSG00000012822","BGLF5-Independent"
"ENSG00000012963","BGLF5-Independent"
"ENSG00000012983","BGLF5-Independent"
"ENSG00000013275","BGLF5-Independent"
"ENSG00000013288","BGLF5-Independent"
"ENSG00000013306","Both"
"ENSG00000013364","BGLF5-Independent"
"ENSG00000013392","BGLF5-Independent"
"ENSG00000013441","BGLF5-Independent"
"ENSG00000013503","Both"
"ENSG00000013523","BGLF5-Independent"
"ENSG00000013561","BGLF5-Independent"
"ENSG00000013563","BGLF5-Independent"
"ENSG00000013573","BGLF5-Independent"
"ENSG00000013810","BGLF5-Independent"
"ENSG00000014123","BGLF5-Independent"
"ENSG00000014138","BGLF5-Independent"
"ENSG00000014164","BGLF5-Independent"
"ENSG00000014216","BGLF5-Independent"
"ENSG00000014641","Both"
"ENSG00000014824","BGLF5-Independent"
"ENSG00000014919","BGLF5-Independent"
"ENSG00000015133","Escapee"
"ENSG00000015153","BGLF5-Independent"
"ENSG00000015171","BGLF5-Independent"
"ENSG00000015285","BGLF5-Independent"
"ENSG00000015475","Both"
"ENSG00000015479","Both"
"ENSG00000015676","BGLF5-Independent"
"ENSG00000016391","BGLF5-Independent"
"ENSG00000016864","BGLF5-Independent"
"ENSG00000017260","BGLF5-Independent"
"ENSG00000017483","BGLF5-Independent"
"ENSG00000017797","Both"
"ENSG00000018408","BGLF5-Independent"
"ENSG00000018510","BGLF5-Independent"
"ENSG00000018610","BGLF5-Independent"
"ENSG00000018699","Both"
"ENSG00000019995","BGLF5-Independent"
"ENSG00000020129","BGLF5-Independent"
"ENSG00000020256","BGLF5-Independent"
"ENSG00000020426","BGLF5-Independent"
"ENSG00000020633","BGLF5-Independent"
"ENSG00000020922","BGLF5-Independent"
"ENSG00000021574","BGLF5-Independent"
"ENSG00000021776","BGLF5-Independent"
"ENSG00000022277","Both"
"ENSG00000022840","BGLF5-Independent"
"ENSG00000022976","BGLF5-Independent"
"ENSG00000023041","BGLF5-Independent"
"ENSG00000023191","BGLF5-Independent"
"ENSG00000023228","Both"
"ENSG00000023287","BGLF5-Independent"
"ENSG00000023318","BGLF5-Independent"
"ENSG00000023330","BGLF5-Independent"
"ENSG00000023445","Both"
"ENSG00000023516","BGLF5-Independent"
"ENSG00000023572","Both"
"ENSG00000023608","BGLF5-Independent"
"ENSG00000023697","BGLF5-Independent"
"ENSG00000023734","Both"
"ENSG00000023892","BGLF5-Independent"
"ENSG00000023902","Both"
"ENSG00000023909","BGLF5-Independent"
"ENSG00000024048","BGLF5-Independent"
"ENSG00000024526","Both"
"ENSG00000024862","BGLF5-Independent"
"ENSG00000025156","BGLF5-Independent"
"ENSG00000025293","BGLF5-Independent"
"ENSG00000025434","BGLF5-Independent"
"ENSG00000025708","BGLF5-Independent"
"ENSG00000025770","BGLF5-Independent"
"ENSG00000025772","BGLF5-Independent"
"ENSG00000025796","BGLF5-Independent"
"ENSG00000025800","BGLF5-Independent"
"ENSG00000026025","Both"
"ENSG00000026103","Both"
"ENSG00000026297","BGLF5-Independent"
"ENSG00000026751","BGLF5-Independent"
"ENSG00000026950","BGLF5-Independent"
"ENSG00000027001","BGLF5"
"ENSG00000027697","BGLF5-Independent"
"ENSG00000027847","BGLF5-Independent"
"ENSG00000027869","BGLF5-Independent"
"ENSG00000028116","BGLF5-Independent"
"ENSG00000028203","Both"
"ENSG00000028277","BGLF5-Independent"
"ENSG00000028310","BGLF5-Independent"
"ENSG00000028528","BGLF5-Independent"
"ENSG00000028839","BGLF5-Independent"
"ENSG00000029153","Both"
"ENSG00000029363","BGLF5-Independent"
"ENSG00000029364","BGLF5-Independent"
"ENSG00000029534","BGLF5-Independent"
"ENSG00000029639","Escapee"
"ENSG00000029725","BGLF5-Independent"
"ENSG00000029993","BGLF5-Independent"
"ENSG00000030066","BGLF5-Independent"
"ENSG00000030110","BGLF5-Independent"
"ENSG00000030582","BGLF5-Independent"
"ENSG00000031003","BGLF5-Independent"
"ENSG00000031081","BGLF5-Independent"
"ENSG00000031691","Escapee"
"ENSG00000031698","BGLF5-Independent"
"ENSG00000031823","BGLF5-Independent"
"ENSG00000032219","BGLF5-Independent"
"ENSG00000032389","BGLF5-Independent"
"ENSG00000032444","BGLF5-Independent"
"ENSG00000032742","BGLF5-Independent"
"ENSG00000033030","BGLF5-Independent"
"ENSG00000033050","BGLF5-Independent"
"ENSG00000033100","BGLF5-Independent"
"ENSG00000033170","BGLF5-Independent"
"ENSG00000033178","BGLF5-Independent"
"ENSG00000033627","BGLF5-Independent"
"ENSG00000033800","BGLF5-Independent"
"ENSG00000033867","BGLF5-Independent"
"ENSG00000034510","Both"
