"ENSEMBL","Category"
"ENSG00000000419","BGLF5-Independent"
"ENSG00000000457","BGLF5-Independent"
"ENSG00000000460","BGLF5-Independent"
"ENSG00000001036","Both"
"ENSG00000001084","Both"
"ENSG00000001167","Both"
"ENSG00000001461","Both"
"ENSG00000001497","Both"
"ENSG00000001629","Both"
"ENSG00000001630","Both"
"ENSG00000001631","Both"
"ENSG00000002016","BGLF5-Independent"
"ENSG00000002330","Both"
"ENSG00000002549","Both"
"ENSG00000002822","BGLF5-Independent"
"ENSG00000002834","BGLF5-Independent"
"ENSG00000002919","BGLF5-Independent"
"ENSG00000003056","BGLF5-Independent"
"ENSG00000003393","BGLF5"
"ENSG00000003402","BGLF5-Independent"
"ENSG00000003509","Both"
"ENSG00000003756","BGLF5-Independent"
"ENSG00000004059","Both"
"ENSG00000004139","BGLF5-Independent"
"ENSG00000004142","Both"
"ENSG00000004455","Both"
"ENSG00000004478","Both"
"ENSG00000004487","Both"
"ENSG00000004534","Both"
"ENSG00000004700","BGLF5-Independent"
"ENSG00000004766","Both"
"ENSG00000004779","Both"
"ENSG00000004864","BGLF5-Independent"
"ENSG00000004866","Both"
"ENSG00000004897","Both"
"ENSG00000004961","Both"
"ENSG00000004975","BGLF5-Independent"
"ENSG00000005007","BGLF5-Independent"
"ENSG00000005020","Both"
"ENSG00000005022","Both"
"ENSG00000005059","Both"
"ENSG00000005075","Both"
"ENSG00000005100","BGLF5-Independent"
"ENSG00000005156","Both"
"ENSG00000005175","Both"
"ENSG00000005187","Both"
"ENSG00000005189","BGLF5-Independent"
"ENSG00000005194","Both"
"ENSG00000005206","BGLF5-Independent"
"ENSG00000005302","Both"
"ENSG00000005339","Both"
"ENSG00000005379","BGLF5-Independent"
"ENSG00000005436","Both"
"ENSG00000005448","Both"
"ENSG00000005483","BGLF5-Independent"
"ENSG00000005700","Both"
"ENSG00000005801","BGLF5-Independent"
"ENSG00000005810","Both"
"ENSG00000005812","BGLF5-Independent"
"ENSG00000005884","BGLF5"
"ENSG00000005889","Both"
"ENSG00000005893","Both"
"ENSG00000006007","Both"
"ENSG00000006015","Both"
"ENSG00000006062","BGLF5-Independent"
"ENSG00000006125","BGLF5-Independent"
"ENSG00000006194","BGLF5-Independent"
"ENSG00000006451","BGLF5-Independent"
"ENSG00000006530","Both"
"ENSG00000006576","BGLF5-Independent"
"ENSG00000006607","BGLF5-Independent"
"ENSG00000006625","BGLF5-Independent"
"ENSG00000006634","Both"
"ENSG00000006652","BGLF5-Independent"
"ENSG00000006695","Both"
"ENSG00000006712","BGLF5-Independent"
"ENSG00000006715","Both"
"ENSG00000006744","Both"
"ENSG00000006831","Both"
"ENSG00000007047","BGLF5-Independent"
"ENSG00000007080","Both"
"ENSG00000007168","Both"
"ENSG00000007202","BGLF5-Independent"
"ENSG00000007255","BGLF5-Independent"
"ENSG00000007312","Both"
"ENSG00000007341","BGLF5-Independent"
"ENSG00000007392","BGLF5-Independent"
"ENSG00000007520","Both"
"ENSG00000007541","BGLF5-Independent"
"ENSG00000007545","BGLF5-Independent"
"ENSG00000007923","BGLF5-Independent"
"ENSG00000007944","BGLF5-Independent"
"ENSG00000008018","Both"
"ENSG00000008128","Both"
"ENSG00000008130","Both"
"ENSG00000008277","Both"
"ENSG00000008282","BGLF5-Independent"
"ENSG00000008294","BGLF5-Independent"
"ENSG00000008311","BGLF5-Independent"
"ENSG00000008324","BGLF5-Independent"
"ENSG00000008382","BGLF5-Independent"
"ENSG00000008710","BGLF5-Independent"
"ENSG00000008838","BGLF5-Independent"
"ENSG00000008869","Both"
"ENSG00000008952","Both"
"ENSG00000008988","Both"
"ENSG00000009307","Both"
"ENSG00000009335","BGLF5-Independent"
"ENSG00000009413","Both"
"ENSG00000009780","BGLF5-Independent"
"ENSG00000009790","Both"
"ENSG00000009830","BGLF5-Independent"
"ENSG00000009844","Both"
"ENSG00000009954","Both"
"ENSG00000010017","Both"
"ENSG00000010072","BGLF5-Independent"
"ENSG00000010165","Both"
"ENSG00000010219","BGLF5-Independent"
"ENSG00000010244","Both"
"ENSG00000010256","Both"
"ENSG00000010270","Both"
"ENSG00000010278","Both"
"ENSG00000010292","BGLF5-Independent"
"ENSG00000010322","BGLF5-Independent"
"ENSG00000010361","BGLF5-Independent"
"ENSG00000010404","Both"
"ENSG00000010539","BGLF5-Independent"
"ENSG00000010626","BGLF5-Independent"
"ENSG00000010671","Both"
"ENSG00000010803","Both"
"ENSG00000010818","BGLF5-Independent"
"ENSG00000011007","Both"
"ENSG00000011009","BGLF5-Independent"
"ENSG00000011021","BGLF5-Independent"
"ENSG00000011052","Both"
"ENSG00000011114","BGLF5-Independent"
"ENSG00000011132","BGLF5-Independent"
"ENSG00000011143","BGLF5-Independent"
"ENSG00000011198","Both"
"ENSG00000011243","Both"
"ENSG00000011258","BGLF5"
"ENSG00000011260","Both"
"ENSG00000011275","Both"
"ENSG00000011295","BGLF5-Independent"
"ENSG00000011304","BGLF5-Independent"
"ENSG00000011332","BGLF5-Independent"
"ENSG00000011376","Both"
"ENSG00000011405","BGLF5-Independent"
"ENSG00000011426","Both"
"ENSG00000011451","BGLF5-Independent"
"ENSG00000011478","BGLF5-Independent"
"ENSG00000011485","BGLF5-Independent"
"ENSG00000011566","Escapee"
"ENSG00000012048","BGLF5-Independent"
"ENSG00000012061","Both"
"ENSG00000012232","BGLF5-Independent"
"ENSG00000012660","BGLF5-Independent"
"ENSG00000012817","BGLF5-Independent"
"ENSG00000012822","BGLF5-Independent"
"ENSG00000012963","Both"
"ENSG00000012983","BGLF5-Independent"
"ENSG00000013275","Both"
"ENSG00000013288","BGLF5-Independent"
"ENSG00000013306","Both"
"ENSG00000013364","BGLF5-Independent"
"ENSG00000013441","BGLF5-Independent"
"ENSG00000013503","Both"
"ENSG00000013523","BGLF5-Independent"
"ENSG00000013561","BGLF5-Independent"
"ENSG00000013563","BGLF5-Independent"
"ENSG00000013573","BGLF5-Independent"
"ENSG00000013810","BGLF5-Independent"
"ENSG00000014123","Both"
"ENSG00000014138","BGLF5-Independent"
"ENSG00000014164","BGLF5-Independent"
"ENSG00000014216","Both"
"ENSG00000014641","Both"
"ENSG00000014824","Both"
"ENSG00000014919","Both"
"ENSG00000015133","BGLF5-Independent"
"ENSG00000015153","BGLF5-Independent"
"ENSG00000015171","Both"
"ENSG00000015285","Both"
"ENSG00000015475","BGLF5-Independent"
"ENSG00000015479","Both"
"ENSG00000015676","BGLF5-Independent"
"ENSG00000016391","Both"
"ENSG00000016864","BGLF5-Independent"
"ENSG00000017260","Both"
"ENSG00000017483","Both"
"ENSG00000017797","Both"
"ENSG00000018408","BGLF5-Independent"
"ENSG00000018510","Both"
"ENSG00000018610","BGLF5-Independent"
"ENSG00000018699","Both"
"ENSG00000019995","BGLF5-Independent"
"ENSG00000020129","BGLF5-Independent"
"ENSG00000020256","BGLF5-Independent"
"ENSG00000020426","Both"
"ENSG00000020633","BGLF5-Independent"
"ENSG00000020922","Both"
"ENSG00000021574","BGLF5-Independent"
"ENSG00000021776","Both"
"ENSG00000022277","Both"
"ENSG00000022840","Both"
"ENSG00000022976","BGLF5-Independent"
"ENSG00000023041","BGLF5-Independent"
"ENSG00000023191","BGLF5-Independent"
"ENSG00000023228","Both"
"ENSG00000023287","Both"
"ENSG00000023318","BGLF5-Independent"
"ENSG00000023330","Both"
"ENSG00000023445","Both"
"ENSG00000023516","Both"
"ENSG00000023572","Both"
"ENSG00000023697","BGLF5-Independent"
"ENSG00000023734","Both"
"ENSG00000023892","BGLF5-Independent"
"ENSG00000023902","Both"
"ENSG00000023909","Both"
"ENSG00000024048","Both"
"ENSG00000024526","Both"
"ENSG00000024862","BGLF5-Independent"
"ENSG00000025156","Both"
"ENSG00000025293","BGLF5-Independent"
"ENSG00000025708","BGLF5-Independent"
"ENSG00000025770","BGLF5-Independent"
"ENSG00000025772","Both"
"ENSG00000025796","Both"
"ENSG00000025800","BGLF5-Independent"
"ENSG00000026025","Both"
"ENSG00000026103","Both"
"ENSG00000026297","BGLF5-Independent"
"ENSG00000026751","Both"
"ENSG00000026950","BGLF5-Independent"
"ENSG00000027001","Both"
"ENSG00000027697","BGLF5-Independent"
"ENSG00000027847","BGLF5-Independent"
"ENSG00000028116","Both"
"ENSG00000028203","Both"
"ENSG00000028277","BGLF5-Independent"
"ENSG00000028310","Both"
"ENSG00000028528","BGLF5-Independent"
"ENSG00000028839","BGLF5-Independent"
"ENSG00000029153","Both"
"ENSG00000029363","Both"
"ENSG00000029364","BGLF5-Independent"
"ENSG00000029534","BGLF5-Independent"
"ENSG00000029639","BGLF5-Independent"
"ENSG00000029725","Both"
"ENSG00000029993","Both"
"ENSG00000030066","BGLF5-Independent"
"ENSG00000030110","BGLF5-Independent"
"ENSG00000030582","Both"
"ENSG00000031003","Both"
"ENSG00000031081","BGLF5-Independent"
"ENSG00000031691","BGLF5-Independent"
"ENSG00000031698","Both"
"ENSG00000031823","Both"
"ENSG00000032219","BGLF5-Independent"
"ENSG00000032389","BGLF5-Independent"
"ENSG00000032444","Both"
"ENSG00000032742","Both"
"ENSG00000033030","Both"
"ENSG00000033050","Both"
"ENSG00000033170","BGLF5-Independent"
"ENSG00000033178","BGLF5-Independent"
"ENSG00000033627","BGLF5-Independent"
"ENSG00000033800","BGLF5-Independent"
"ENSG00000033867","Both"
"ENSG00000034510","Both"
"ENSG00000034533","BGLF5-Independent"
"ENSG00000034677","BGLF5-Independent"
"ENSG00000034693","BGLF5-Independent"
"ENSG00000034713","Both"
"ENSG00000035115","BGLF5-Independent"
"ENSG00000035141","Both"
"ENSG00000035499","Both"
"ENSG00000035681","Both"
"ENSG00000035687","Both"
"ENSG00000035720","Both"
"ENSG00000035928","Both"
"ENSG00000036054","Both"
"ENSG00000036257","Both"
"ENSG00000036549","Both"
"ENSG00000037042","Both"
"ENSG00000037241","Both"
"ENSG00000037474","BGLF5-Independent"
"ENSG00000037637","BGLF5-Independent"
"ENSG00000037749","Both"
"ENSG00000037757","BGLF5-Independent"
"ENSG00000037897","BGLF5-Independent"
"ENSG00000038002","Both"
"ENSG00000038210","Both"
"ENSG00000038219","BGLF5-Independent"
"ENSG00000038274","Both"
"ENSG00000038358","BGLF5-Independent"
"ENSG00000038382","Both"
"ENSG00000038532","BGLF5-Independent"
"ENSG00000039123","Both"
"ENSG00000039319","BGLF5-Independent"
"ENSG00000039523","BGLF5-Independent"
"ENSG00000039650","BGLF5-Independent"
"ENSG00000040199","BGLF5-Independent"
"ENSG00000040275","Both"
"ENSG00000040341","Both"
"ENSG00000040633","Both"
"ENSG00000040933","Both"
"ENSG00000041357","Both"
"ENSG00000041802","Both"
"ENSG00000041880","BGLF5-Independent"
"ENSG00000041988","BGLF5-Independent"
"ENSG00000042088","Both"
"ENSG00000042286","BGLF5-Independent"
"ENSG00000042317","BGLF5-Independent"
"ENSG00000042429","Both"
"ENSG00000042445","BGLF5-Independent"
"ENSG00000042493","BGLF5-Independent"
"ENSG00000042753","Both"
"ENSG00000043093","Both"
"ENSG00000043514","BGLF5-Independent"
"ENSG00000044115","Both"
"ENSG00000044446","BGLF5-Independent"
