UNIQUE_ID	Condition	Replicate	ERCC_norm_factors
WT_02	WT_Bulk	c3-1	1.06738290792945
WT_03	WT_Latent	c3-1	1.65429467372446
WT_04	WT_Early	c3-1	1.10341589623761
WT_05	WT_Late	c3-1	0.921701243169944
WT_07	WT_Bulk	c3-2	1.06129587393496
WT_08	WT_Latent	c3-2	1.10436768790406
WT_09	WT_Early	c3-2	0.899045946140561
WT_10	WT_Late	c3-2	0.91475743068851
WT_12	WT_Bulk	c3-3	0.982553982022274
WT_13	WT_Latent	c3-3	1.0694720014447
WT_14	WT_Early	c3-3	0.786344238157548
WT_15	WT_Late	c3-3	0.694811238677527
WT_17	WT_Bulk	c4-1	0.978327416084968
WT_18	WT_Latent	c4-1	0.903684007549854
WT_19	WT_Early	c4-1	0.689632381071588
WT_20	WT_Late	c4-1	0.732530421104004
WT_22	WT_Bulk	c4-2	1.05367329690073
WT_23	WT_Latent	c4-2	1.27909395399557
WT_24	WT_Early	c4-2	0.639576300339502
WT_25	WT_Late	c4-2	0.876249732878644
dBGLF5_02	dBGLF5_Latent	c2-1	0.990401047706968
dBGLF5_03	dBGLF5_Early	c2-1	0.833686798184019
dBGLF5_04	dBGLF5_Late	c2-1	1.11856555065087
dBGLF5_06	dBGLF5_Latent	c2-2	1.20009972011253
dBGLF5_07	dBGLF5_Early	c2-2	0.841954981591674
dBGLF5_08	dBGLF5_Late	c2-2	1.12206196017059
dBGLF5_10	dBGLF5_Latent	c2-3	1.72988886531561
dBGLF5_11	dBGLF5_Early	c2-3	0.876403588236878
dBGLF5_12	dBGLF5_Late	c2-3	0.809756805096632
