SYMBOL,GM07029-A1,GM07029-A2,GM07029-A3,GM10835A1,GM10835A2,GM10835A3,GM12813-A1,GM12813-A1dup,GM12813-A2,GM12813-A2dup,GM12813-A3dup,GM07019,GM12812,GM12814,GM12815,Average,Stdev
E2F4,10.98195164,12.00089024,11.46524304,7.597476117,7.850378184,7.457389971,15.12795859,15.27033333,14.54222436,14.78393848,14.48371864,16.25885623,12.34699995,13.3784833,21.70604939,13.01679276,3.763342139
LSS,10.49847278,11.33132032,10.57232897,8.4328932,8.953635693,8.503150603,15.65891424,15.90766576,15.2518254,15.32630853,15.88443099,9.497186486,8.491109998,9.852489148,11.27306143,11.6956529,3.008140491
BTBD14B,8.570349324,10.02244517,8.800621767,4.436949006,4.576214193,4.565549394,11.16993149,11.65471915,12.80512044,12.25277121,10.99382628,12.41455603,10.96992921,12.96256104,16.71475204,10.19401972,3.499900115
UNC84B,6.971902623,7.762318246,7.608629223,5.876102551,5.907580107,5.71579374,11.80365648,11.03331133,10.6916202,10.83212109,10.4477299,8.391024477,7.501585835,8.256321317,11.08622054,8.659061177,2.13433912
ZMIZ2,6.200316297,6.286631143,5.817285876,4.167696689,4.454436767,4.091213821,7.853596564,8.231318451,7.958703606,7.798393421,7.167623223,5.640622176,6.162088116,6.042021467,6.758158592,6.308673747,1.354798937
CCT6A,8.881242874,8.855646906,10.72859205,16.18861087,15.47916127,14.37095243,4.656786788,5.303823227,4.27673868,4.324568131,4.145126709,6.671389276,4.910177944,4.860869785,5.520556304,7.94494955,4.313439675
LSP1,22.50610739,24.76669173,21.13458476,12.02548489,13.41720641,12.49230632,24.41204434,25.28214622,25.76794322,24.13882217,23.87288974,18.49264563,15.72238138,19.07034082,22.19286241,20.35296383,4.86033897
MAP4K2,13.68995132,13.06799366,13.29878606,8.142953204,8.811407681,9.542189194,16.4906077,15.52251408,16.66410521,16.04892175,16.21370726,14.85787559,11.79074438,14.08904768,16.78132399,13.66747525,2.915158745
KIAA0195,6.79583403,7.57498651,7.333835846,4.927747409,4.956579703,4.825573818,8.099732761,8.527434427,8.337343017,7.843964041,8.483959373,9.808909845,8.789145753,8.183457736,13.56691128,7.870361037,2.174199677
DKC1,1.701887698,2.211021817,2.0420537,3.159245612,3.236442732,3.08132563,1.155198643,1.020778011,1.197262889,1.106415899,1.062188537,1.428381707,0.902124854,0.973714706,1.278518042,1.703770698,0.843530363
EDC4,6.123622486,6.509554516,6.508206539,4.535973541,5.099139105,4.678686041,8.539738545,7.883087939,8.504365658,8.476355508,7.990089697,7.115892145,6.097961518,7.227406975,12.08757474,7.15851033,1.913908542
SFRS4,4.127461639,3.775867138,3.977190322,4.719067336,5.172835958,5.107146237,2.368702092,2.652955393,2.136434537,2.436802245,2.465351579,2.407135079,2.059175407,2.483757164,2.055018661,3.196326719,1.153573663
ARL8A,10.26505794,10.05034439,9.469995698,4.98289821,5.360301655,4.719112947,9.974914859,11.41626471,9.764944433,9.541690872,10.16979807,12.54608399,11.80473828,11.59202607,15.56378153,9.81479691,2.927156981
DAK,7.694700835,7.741093151,7.071657937,12.50383199,13.76429196,13.57886606,9.917804005,9.979007119,9.643380575,9.198704086,9.655481873,6.989176579,5.765032243,7.139761401,9.154854855,9.319842977,2.421492835
GTPBP4,3.592444608,4.227977842,4.255326566,4.240155893,4.118256799,4.378604499,2.067227044,2.091662261,2.121996423,2.267805374,2.380623092,3.205281765,2.046052148,2.23330904,2.162849113,3.025971498,0.990679639
OAZ1,14.32729664,17.77663045,14.29099358,12.69063825,14.87583507,15.70849258,4.402755339,4.193396366,5.161650388,4.49641999,3.551043084,5.051707294,3.485705966,2.98907287,4.633540267,8.509011875,5.561834771
