Experiment	Group
WT_03.Aligned.sortedByCoord.out	WT_Latent
WT_04.Aligned.sortedByCoord.out	WT_Early
WT_05.Aligned.sortedByCoord.out	WT_Late
WT_08.Aligned.sortedByCoord.out	WT_Latent
WT_09.Aligned.sortedByCoord.out	WT_Early
WT_10.Aligned.sortedByCoord.out	WT_Late
WT_13.Aligned.sortedByCoord.out	WT_Latent
WT_14.Aligned.sortedByCoord.out	WT_Early
WT_15.Aligned.sortedByCoord.out	WT_Late
WT_18.Aligned.sortedByCoord.out	WT_Latent
WT_19.Aligned.sortedByCoord.out	WT_Early
WT_20.Aligned.sortedByCoord.out	WT_Late
WT_23.Aligned.sortedByCoord.out	WT_Latent
WT_24.Aligned.sortedByCoord.out	WT_Early
WT_25.Aligned.sortedByCoord.out	WT_Late
dBGLF5_02.Aligned.sortedByCoord.out	dBGLF5_Latent
dBGLF5_03.Aligned.sortedByCoord.out	dBGLF5_Early
dBGLF5_04.Aligned.sortedByCoord.out	dBGLF5_Late
dBGLF5_06.Aligned.sortedByCoord.out	dBGLF5_Latent
dBGLF5_07.Aligned.sortedByCoord.out	dBGLF5_Early
dBGLF5_08.Aligned.sortedByCoord.out	dBGLF5_Late
dBGLF5_10.Aligned.sortedByCoord.out	dBGLF5_Latent
dBGLF5_11.Aligned.sortedByCoord.out	dBGLF5_Early
dBGLF5_12.Aligned.sortedByCoord.out	dBGLF5_Late
