"WT_Bulk","WT_Latent","WT_Early","WT_Late","dBGLF5_Latent","dBGLF5_Early","dBGLF5_Late"
"BALF1","BART","BALF1","BALF1","BALF2","BALF1","BALF1"
"BALF2","BHLF1","BALF2","BALF2","BART","BALF2","BALF2"
"BALF4","BHRF1","BALF3","BALF3","BBLF2/3","BALF3","BALF3"
"BALF5","BKRF4","BALF4","BALF4","BFLF1","BALF4","BALF4"
"BARF1","BMRF1","BALF5","BALF5","BFLF2","BALF5","BALF5"
"BART","BMRF2","BARF1","BARF1","BFRF0.5","BARF1","BARF1"
"BBLF1","BNLF2a/b","BART","BART","BFRF3","BART","BART"
"BBLF2/3","BZLF1","BBLF1","BBLF1","BGLF2","BBLF1","BBLF1"
"BBRF1","EBNA1","BBLF2/3","BBLF2/3","BGLF4","BBLF2/3","BBLF2/3"
"BBRF2","EBNA2","BBLF4","BBLF4","BGLF5","BBLF4","BBLF4"
"BBRF3","EBNA3C","BBRF1","BBRF1","BHLF1","BBRF1","BBRF1"
"BCRF1","ENSG00000000419","BBRF2","BBRF2","BHRF1","BBRF2","BBRF2"
"BDLF1","ENSG00000000460","BBRF3","BBRF3","BKRF3","BBRF3","BBRF3"
"BDLF2","ENSG00000000938","BCRF1","BCRF1","BKRF4","BCRF1","BCRF1"
"BDLF3","ENSG00000001036","BDLF1","BDLF1","BLLF2","BDLF1","BDLF1"
"BDLF3.5","ENSG00000001084","BDLF2","BDLF2","BLLF3","BDLF2","BDLF2"
"BFLF1","ENSG00000001167","BDLF3","BDLF3","BLRF2","BDLF3","BDLF3"
"BFLF2","ENSG00000001497","BDLF3.5","BDLF3.5","BMRF1","BDLF3.5","BDLF3.5"
"BFRF0.5","ENSG00000001629","BFLF1","BDLF4","BMRF2","BFLF1","BDLF4"
"BFRF1","ENSG00000001630","BFLF2","BFLF1","BNLF2a/b","BFLF2","BFLF1"
"BFRF3","ENSG00000001631","BFRF0.5","BFLF2","BORF2","BFRF0.5","BFLF2"
"BGLF2","ENSG00000002330","BFRF1","BFRF0.5","BRRF1","BFRF1","BFRF0.5"
"BGLF3","ENSG00000002549","BFRF3","BFRF1","BRRF2","BFRF3","BFRF1"
"BGLF3.5","ENSG00000002586","BGLF1","BFRF3","BSLF1","BGLF1","BFRF3"
"BGLF4","ENSG00000002822","BGLF2","BGLF1","BZLF1","BGLF2","BGLF1"
"BGLF5","ENSG00000002834","BGLF3","BGLF2","BaRF1","BGLF3","BGLF2"
"BGRF1/BDRF1","ENSG00000002919","BGLF3.5","BGLF3","EBNA2","BGLF3.5","BGLF3"
"BHLF1","ENSG00000003056","BGLF4","BGLF3.5","ENSG00000000419","BGLF4","BGLF3.5"
"BHRF1","ENSG00000003393","BGLF5","BGLF4","ENSG00000000457","BGLF5","BGLF4"
"BILF1","ENSG00000003400","BGRF1/BDRF1","BGRF1/BDRF1","ENSG00000000460","BGRF1/BDRF1","BGLF5"
"BILF2-tPT2A-mScarlet-I","ENSG00000003402","BHLF1","BHLF1","ENSG00000000938","BHLF1","BGRF1/BDRF1"
"BKRF2","ENSG00000003509","BHRF1","BHRF1","ENSG00000001036","BHRF1","BHLF1"
"BKRF3","ENSG00000003756","BILF1","BILF1","ENSG00000001084","BILF1","BHRF1"
"BKRF4","ENSG00000004059","BILF2-tPT2A-mScarlet-I","BILF2-tPT2A-mScarlet-I","ENSG00000001167","BILF2-tPT2A-mScarlet-I","BILF1"
"BLLF1","ENSG00000004139","BKRF2","BKRF2","ENSG00000001461","BKRF2","BILF2-tPT2A-mScarlet-I"
"BLLF2","ENSG00000004142","BKRF3","BKRF3","ENSG00000001497","BKRF3","BKRF2"
"BLLF3","ENSG00000004455","BKRF4","BKRF4","ENSG00000001561","BKRF4","BKRF3"
"BLRF1","ENSG00000004478","BLLF1","BLLF1","ENSG00000001629","BLLF1","BKRF4"
"BLRF2","ENSG00000004487","BLLF2","BLLF2","ENSG00000001630","BLLF2","BLLF1"
"BMRF1","ENSG00000004534","BLLF3","BLLF3","ENSG00000001631","BLLF3","BLLF2"
"BMRF2","ENSG00000004700","BLRF1","BLRF1","ENSG00000002016","BLRF1","BLLF3"
"BNLF2a/b","ENSG00000004766","BLRF2","BLRF2","ENSG00000002330","BLRF2","BLRF1"
"BNRF1","ENSG00000004779","BMRF1","BMRF1","ENSG00000002549","BMRF1","BLRF2"
"BORF1","ENSG00000004864","BMRF2","BMRF2","ENSG00000002586","BMRF2","BMRF1"
"BORF2","ENSG00000004866","BNLF2a/b","BNLF2a/b","ENSG00000002726","BNLF2a/b","BMRF2"
"BRLF1","ENSG00000004897","BNRF1","BNRF1","ENSG00000002822","BNRF1","BNLF2a/b"
"BRRF1","ENSG00000004961","BOLF1","BOLF1","ENSG00000002834","BOLF1","BNRF1"
"BRRF2","ENSG00000004975","BORF1","BORF1","ENSG00000002919","BORF1","BOLF1"
"BSLF1","ENSG00000005007","BORF2","BORF2","ENSG00000002933","BORF2","BORF1"
"BSRF1","ENSG00000005020","BPLF1","BPLF1","ENSG00000003056","BPLF1","BORF2"
"BTRF1","ENSG00000005022","BRLF1","BRLF1","ENSG00000003393","BRLF1","BPLF1"
"BVLF1","ENSG00000005059","BRRF1","BRRF1","ENSG00000003400","BRRF1","BRLF1"
"BVRF2","ENSG00000005075","BRRF2","BRRF2","ENSG00000003402","BRRF2","BRRF1"
"BXLF2","ENSG00000005100","BSLF1","BSLF1","ENSG00000003509","BSLF1","BRRF2"
"BZLF1","ENSG00000005156","BSRF1","BSRF1","ENSG00000003756","BSRF1","BSLF1"
"BZLF2","ENSG00000005175","BTRF1","BTRF1","ENSG00000004059","BTRF1","BSRF1"
"BaRF1","ENSG00000005187","BVLF1","BVLF1","ENSG00000004139","BVLF1","BTRF1"
"BcLF1","ENSG00000005189","BVRF1","BVRF1","ENSG00000004142","BVRF1","BVLF1"
"BcRF1","ENSG00000005194","BVRF2","BVRF2","ENSG00000004455","BVRF2","BVRF1"
"BdRF1","ENSG00000005206","BXLF2","BXLF2","ENSG00000004468","BXLF2","BVRF2"
