"ENSEMBL","SYMBOL","gene_type","strand","chrom","dBGLF5_Early_c2-1","dBGLF5_Late_c2-1","dBGLF5_Early_c2-2","dBGLF5_Late_c2-2","dBGLF5_Early_c2-3","dBGLF5_Late_c2-3","log2FoldChange","pvalue","padj","dBGLF5_Early_groupMean","dBGLF5_Late_groupMean","baseMean"
NA,"BALF1",NA,"-","chrEBV",2286.53838862122,2573.62379407455,1981.37129109154,3308.07882495342,2371.62208508978,3037.30116451975,0.355845451129723,0.207143386694013,0.262079660497903,2213.17725493418,2973.00126118257,2593.08925805837
NA,"BALF2",NA,"-","chrEBV",110989.878796773,39886.9677025645,85950.9666039271,66243.2200657226,122220.329527189,80757.3678429415,-0.635993488207413,0.0451096780120679,0.0854663505600665,106387.058309297,62295.8518704095,84341.455089853
NA,"BALF3",NA,"-","chrEBV",22819.6689853549,8478.01382530763,13031.2060345982,12124.5634588393,24619.6409935343,16634.5269472432,-0.559734932762204,0.0850665976095577,0.132408895040686,20156.8386711624,12412.36807713,16284.6033741462
NA,"BALF4",NA,"-","chrEBV",44160.7149535329,91835.2529041937,31215.0195409704,113001.093094656,39890.5989749044,102749.943922054,1.32045568398208,3.42639611748963e-05,0.0017250853371965,38422.1111564692,102528.763306968,70475.4372317185
NA,"BALF5",NA,"-","chrEBV",38967.1178421055,44023.7063089778,18689.2219929058,49635.753343965,40036.4770851212,62145.3662305054,0.546319217612573,0.0913801430779897,0.13921417000724,32564.2723067108,51934.9419611494,42249.6071339301
NA,"BaRF1",NA,"+","chrEBV",124669.15699175,32607.0510717174,109604.057253774,56038.9997271625,172791.322616829,74258.409638737,-1.15647563541897,0.00111203447296229,0.0112563846697915,135688.178954118,54301.486812539,94994.8328833283
NA,"BARF1",NA,"+","chrEBV",3412.56828387915,6230.76977685837,3493.42173139603,7136.02633850225,3761.6231211721,7208.98066905279,0.843181690967036,0.00386713435997285,0.0203170392585069,3555.87104548243,6858.59226147113,5207.23165347678
NA,"BART",NA,"+","chrEBV",6505.40131507931,24796.1654967843,4774.62276792107,25155.2202205653,8216.84272490156,26923.5637252586,1.87203745562074,2.73841097455712e-08,8.84317143241546e-06,6498.95560263398,25624.9831475361,16061.969375085
NA,"BBLF1",NA,"-","chrEBV",1248.2959836504,42170.0572528687,3378.32607984413,44424.8234362199,698.169793421779,34941.5632826282,4.40895013487177,2.4311265740879e-19,1.42075036989697e-15,1774.9306189721,40512.1479905723,21143.5393047722
NA,"BBLF2/3",NA,"-","chrEBV",153399.376176016,32946.4045326225,106716.99858664,54556.8836134796,129109.333402087,62171.4175877882,-1.23622193707517,0.000275813623055172,0.00540890876890747,129741.902721581,49891.5685779634,89816.7356497721
NA,"BBLF4",NA,"-","chrEBV",61392.9017101024,22619.1827185674,41121.6414010473,29299.3398405091,55726.0817619189,32211.8620055996,-0.787022300967444,0.0104269491953182,0.0341632222471616,52746.8749576895,28043.4615215587,40395.1682396241
NA,"BBRF1",NA,"+","chrEBV",8986.86188328561,35412.5956486983,5865.57612233189,37135.8265444815,7337.3250792428,35777.2213721118,2.20009192405658,2.91609763461224e-11,1.6230166263499e-08,7396.58769495343,36108.5478550972,21752.5677750253
NA,"BBRF2",NA,"+","chrEBV",3695.16820802608,8665.54821108145,2806.65546998019,10729.6650074741,3271.26945435657,10042.1706139977,1.47925657149162,2.54305058208897e-06,0.00035463458753766,3257.69771078761,9812.46127751775,6535.07949415268
NA,"BBRF3",NA,"+","chrEBV",42273.8982284444,132294.27971202,34588.9380770997,173481.52911182,30690.9345851334,122322.562016612,1.89393815188631,1.24689013329248e-08,4.68268600976636e-06,35851.2569635592,142699.456946817,89275.3569551883
NA,"BcLF1",NA,"-","chrEBV",87234.6440837475,524325.377480365,51821.8351789861,529663.005103944,64815.8032289022,469126.181165139,2.82428549365375,3.00945440261037e-16,5.02492900824429e-13,67957.427497212,507704.854583149,287831.141040181
