"ENSEMBL","SYMBOL","gene_type","strand","chrom","WT_Latent_c3-1","WT_Early_c3-1","WT_Latent_c3-2","WT_Early_c3-2","WT_Latent_c3-3","WT_Early_c3-3","WT_Latent_c4-1","WT_Early_c4-1","WT_Latent_c4-2","WT_Early_c4-2","log2FoldChange","pvalue","padj","WT_Latent_groupMean","WT_Early_groupMean","baseMean"
"ENSG00000000457","SCYL3","protein_coding","-","chr1",28.6095661023369,54.8909930142036,20.0291881365583,36.5902079832355,17.7401612696802,52.1543307808531,22.8477756231172,23.1630077864678,31.5906122522942,27.1393762230697,0.601021270055526,0.0778973601762502,0.0999051413901859,24.1634606767974,38.7875831575659,31.4755219171816
"ENSG00000000460","FIRRM","protein_coding","+","chr1",636.142116863726,778.929329439651,659.42250172669,785.85787600358,405.067015657698,664.595186521728,608.322025965496,233.56032851355,591.606011270236,288.238892300189,-0.0682621828384986,0.835288580327054,0.867836885871353,580.111934296769,550.23632255574,565.174128426254
"ENSG00000002919","SNX11","protein_coding","+","chr17",131.267420940134,130.692840510009,77.0353389867628,129.728919213289,94.6141934382944,208.617323123412,188.494148890717,110.989412310158,124.926512088618,95.4557370604522,0.117842511847951,0.699750420318256,0.744034582158943,123.267522868905,135.096846443464,129.182184656185
"ENSG00000003056","M6PR","protein_coding","-","chr12",0,52.2771362040034,0,48.2325468869922,11.8267741797868,28.3123509953202,2.85597195288965,27.5060717464305,2.87187384111765,30.4148181810264,3.1958750448817,1.21859515885277e-08,3.42407093317966e-08,3.51092399475882,37.3485848027546,20.4297543987567
"ENSG00000003509","NDUFAF7","protein_coding","+","chr2",237.291107084088,270.098537054018,191.047640687172,222.036034807361,127.137822432708,211.597570596604,149.938527526707,143.803673340988,232.62178113053,177.809706289078,0.117604924695356,0.672111611471059,0.717802131760249,187.607375772241,205.069104417609,196.338240094925
"ENSG00000003756","RBM5","protein_coding","+","chr3",20.1949878369437,311.92024601722,27.7327220352346,256.131455882648,8.87008063484009,210.107446860008,62.8313829635724,188.199438265051,40.2062337756471,167.515460135499,2.72312864534402,8.79666819771556e-12,3.66353600831855e-11,31.9670814492476,226.774809432085,129.370945440667
"ENSG00000004142","POLDIP2","protein_coding","-","chr17",94.2432765724038,299.72224756962,117.09371525988,237.836351891031,88.700806348401,219.793251147881,95.6750604218034,116.780164256775,91.8999629157648,119.787591605273,0.953508533812609,0.00216726974297576,0.00339483568296266,97.5225643036505,198.783921294116,148.153242798883
"ENSG00000004455","AK2","protein_coding","-","chr1",95.9261922254825,32.2375673258021,67.7910983083513,19.958295263583,112.354354707975,28.3123509953202,94.2470744453586,16.8896931776328,66.053098345706,21.9922531462806,-1.80940431622693,6.83340539012523e-09,1.97669144127089e-08,87.2743636065746,23.8780319817238,55.5761977941492
"ENSG00000005189","REXO5","protein_coding","+","chr16",1.68291565307864,97.5839875808064,7.70353389867628,74.8436072384362,2.9566935449467,74.5061868297901,15.7078457408931,33.7793863552656,11.4874953644706,49.5995496490585,2.90425805157211,6.2614164976944e-10,2.08402369997888e-09,7.90769684041306,66.0625435306713,36.9851201855422
"ENSG00000005812","FBXL3","protein_coding","-","chr13",11.7804095715505,112.395842838607,40.0583762731167,124.739345397394,11.8267741797868,134.85619816192,25.7037475760069,69.4890233594034,20.1031168878236,81.4181286692092,2.15260651343787,8.19729592939061e-09,2.3463205268139e-08,21.8944848976569,104.579707685307,63.2370962914818
