#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000371582.8	1161	288	0.44461	9.189468574523925	1	0.999974	coding
ENST00000371584.9	1084	296	0.40625	9.225506401062013	1	0.999922	coding
ENST00000371588.10	1054	261	0.40183	9.570541191101071	1	0.999296	coding
ENST00000466152.5	1097	189	0.35742	9.29719524383545	1	0.918982	coding
ENST00000681979.1	1499	124	0.40395000000000003	9.712307167053222	1	0.609025	coding
ENST00000683048.1	959	130	0.32719	8.004733085632324	1	0.3627	noncoding
ENST00000359326.9	4011	854	0.47357	5.637825584411621	1	1	coding
ENST00000413811.3	2661	531	0.46177000000000007	5.421553230285644	1	1	coding
ENST00000496973.5	782	181	0.48128	6.368888664245605	1	0.995983	coding
ENST00000374003.7	2021	530	0.46270999999999995	5.408082389831542	1	1	coding
ENST00000374004.5	2350	530	0.4413	5.408082389831542	1	1	coding
ENST00000374005.8	2637	530	0.45627999999999996	5.408082389831542	1	1	coding
ENST00000399173.5	2483	530	0.44874	5.408082389831542	1	1	coding
ENST00000475472.5	679	122	0.40603999999999996	6.823259544372559	1	0.685736	coding
ENST00000341376.11	6209	348	0.30373000000000006	8.890399742126466	1	0.998905	coding
ENST00000353205.5	1660	319	0.45255999999999996	9.218737220764158	1	0.999997	coding
ENST00000374804.9	2261	676	0.44985	4.608414649963378	1	1	coding
ENST00000374807.9	2386	718	0.45729000000000003	4.61563320159912	1	1	coding
ENST00000374811.8	2470	735	0.45729000000000003	4.6430864334106445	1	1	coding
ENST00000677834.1	2386	718	0.45729000000000003	4.61563320159912	1	1	coding
ENST00000265742.8	6340	1090	0.4594	4.982642555236816	1	1	coding
ENST00000422095.1	2036	359	0.43189	4.26306095123291	1	1	coding
ENST00000442183.1	547	134	0.46279000000000003	7.010259819030761	-1	0.0916599	noncoding
ENST00000359238.7	2992	271	0.34779000000000004	6.607782936096191	1	0.999623	coding
ENST00000393405.6	2733	271	0.33133	6.607782936096191	1	0.999282	coding
ENST00000580875.1	704	36	0.30277000000000004	11.255938148498537	1	0.0199665	noncoding
ENST00000582104.5	1282	263	0.34528000000000003	7.59234790802002	1	0.998482	coding
ENST00000582481.1	627	177	0.46117	8.3797456741333	-1	0.19549	noncoding
ENST00000000412.8	2450	278	0.35192	5.566094779968262	1	0.999926	coding
ENST00000536844.5	2305	192	0.32882	6.225938606262207	1	0.966902	coding
ENST00000537621.1	581	104	0.4342	5.414846229553221	1	0.656337	coding
ENST00000539143.5	650	67	0.41230999999999995	6.681275749206543	1	0.077872	noncoding
ENST00000540837.1	648	125	0.44948	8.806848716735843	1	0.812676	coding
ENST00000543159.1	720	92	0.37626	7.696647453308106	-1	0.0682409	noncoding
ENST00000543834.1	412	78	0.44278	5.147020912170409	1	0.294598	noncoding
ENST00000002125.9	2184	442	0.47275	8.465682029724121	1	1	coding
ENST00000336237.10	1869	344	0.4356400000000001	8.78692798614502	1	0.999999	coding
ENST00000455230.5	946	138	0.47240000000000004	7.75604419708252	1	0.928109	coding
ENST00000469831.1	845	173	0.46076	7.788699531555175	1	0.989863	coding
ENST00000474257.5	1470	100	0.3771	10.54091930389404	1	0.223355	noncoding
ENST00000347869.8	3177	816	0.43582	5.943050956726075	1	1	coding
ENST00000395174.6	938	225	0.4557	5.896727180480957	-1	0.333786	noncoding
ENST00000437500.5	582	105	0.48724000000000006	5.4528715133666985	-1	0.0661399	noncoding
ENST00000441812.6	583	36	0.45751	6.894024085998535	1	0.0163318	noncoding
ENST00000462025.1	573	46	0.36053999999999997	9.69251537322998	1	0.0217133	noncoding
ENST00000464087.6	5616	273	0.34355	8.282591819763184	1	0.998229	coding
ENST00000464988.1	877	95	0.39119000000000004	9.329300498962404	1	0.22619	noncoding
ENST00000469838.5	2716	144	0.3295	5.243590354919433	1	0.826078	coding
ENST00000471995.5	762	49	0.39192	9.693869209289552	-1	0.0945651	noncoding
ENST00000474818.5	832	205	0.47839	5.673236274719239	-1	0.298719	noncoding
ENST00000475128.5	1371	142	0.42740999999999996	6.200076866149902	-1	0.0900896	noncoding
ENST00000475590.5	704	95	0.47248999999999997	9.329300498962404	1	0.564426	coding
ENST00000489437.1	625	36	0.42968	6.894024085998535	1	0.0137707	noncoding
ENST00000493993.1	476	56	0.4418	9.299516105651854	1	0.0742812	noncoding
ENST00000496179.5	1406	209	0.43868	6.803877449035644	-1	0.227894	noncoding
ENST00000540200.6	2670	369	0.33675	8.798016548156738	1	0.999941	coding
ENST00000618887.2	1524	351	0.39123	8.59803562164307	1	0.999995	coding
ENST00000001008.6	3715	460	0.40164	5.348685646057128	1	1	coding
ENST00000538622.1	572	86	0.47257	6.066505241394043	-1	0.0429872	noncoding
ENST00000543037.1	727	137	0.47693	5.8301118850708	-1	0.104951	noncoding
ENST00000266022.9	3630	1124	0.45733999999999997	5.925374031066894	1	1	coding
ENST00000419610.5	2128	466	0.40196	8.76139850616455	1	1	coding
ENST00000421682.1	684	120	0.43889	9.46984157562256	1	0.73104	coding
ENST00000422955.5	2324	602	0.40967000000000003	8.873766899108887	1	1	coding
ENST00000425608.5	1886	521	0.45274000000000003	5.239838981628417	1	1	coding
ENST00000442092.5	2260	602	0.40034	8.873766899108887	1	1	coding
ENST00000443081.5	4010	992	0.43314	5.964820289611817	1	1	coding
ENST00000446471.1	695	156	0.35731	8.895944023132326	-1	0.157648	noncoding
ENST00000454079.5	4324	698	0.44026000000000004	5.556545829772949	1	1	coding
ENST00000478026.1	480	76	0.45861	8.458719444274902	1	0.208226	noncoding
ENST00000483350.1	988	206	0.34212	9.027975273132324	1	0.940575	coding
ENST00000493652.1	581	50	0.29759	7.962312889099121	-1	0.127777	noncoding
ENST00000421138.6	2572	650	0.46798	8.125288963317871	1	1	coding
ENST00000444129.7	3745	650	0.39429	8.125288963317871	1	1	coding
ENST00000305866.10	5684	965	0.42445	5.850346565246581	1	1	coding
ENST00000441602.5	3474	594	0.43971	5.105869483947752	1	1	coding
ENST00000485994.5	573	145	0.47792999999999997	5.365851020812988	1	0.969591	coding
ENST00000265437.9	2899	586	0.41087	6.817064094543457	1	1	coding
ENST00000422922.5	1887	509	0.42723	7.013613319396971	1	1	coding
ENST00000449366.5	542	87	0.34920999999999996	7.907708168029785	-1	0.0876433	noncoding
ENST00000262803.10	5321	1119	0.44895	6.238045310974121	1	1	coding
ENST00000601689.1	561	161	0.47572000000000003	8.287555885314944	-1	0.166847	noncoding
ENST00000601981.6	4990	765	0.44601999999999997	9.015532875061037	1	1	coding
ENST00000704679.1	4634	766	0.45564999999999994	8.963377952575684	1	1	coding
ENST00000345317.7	3839	360	0.39696	4.544754981994629	1	1	coding
ENST00000495802.5	554	26	0.41408	9.700380516052245	1	0.0126917	noncoding
ENST00000005386.8	4339	666	0.41365	6.463582420349121	1	1	coding
ENST00000380650.4	2149	632	0.43441	7.4857179641723635	1	1	coding
ENST00000432584.7	2133	507	0.43441	7.544091606140138	1	1	coding
ENST00000261377.11	2691	775	0.45364000000000004	8.638199424743654	1	1	coding
ENST00000348433.10	2604	744	0.45569000000000004	8.874411582946777	1	1	coding
ENST00000561474.1	617	126	0.48763999999999996	9.029909324645995	-1	0.137928	noncoding
ENST00000565340.5	720	143	0.45160999999999996	9.161553764343264	-1	0.159104	noncoding
ENST00000566993.5	2549	518	0.45245	8.821547508239746	1	1	coding
ENST00000394391.9	2021	313	0.34496	5.442299461364747	1	0.999989	coding
ENST00000567518.5	2016	300	0.35597	5.453951454162596	1	0.999985	coding
ENST00000262367.10	10790	2443	0.45844	8.826124763488771	1	1	coding
ENST00000382070.7	7598	2405	0.49663	8.777773475646974	1	1	coding
ENST00000573517.6	718	139	0.40115	8.630914497375489	1	0.780357	coding
ENST00000574740.1	523	89	0.42582	8.963958168029787	1	0.268339	noncoding
ENST00000578486.1	471	59	0.41265999999999997	4.583291816711426	1	0.116481	noncoding
ENST00000581675.5	1553	140	0.30197999999999997	4.731982612609863	1	0.810343	coding
ENST00000582679.1	887	235	0.43732	4.8304845809936525	-1	0.417057	noncoding
ENST00000257745.9	5524	1184	0.42601999999999995	7.751212882995605	-1	0.999983	coding
ENST00000311117.8	7782	1859	0.44091	7.408075904846191	1	1	coding
ENST00000334884.9	6840	911	0.38749999999999996	6.945463371276855	1	1	coding
ENST00000415513.1	685	35	0.43689999999999996	4.830996131896971	1	0.0258937	noncoding
ENST00000473063.2	5896	1817	0.41048	7.619857978820801	1	1	coding
ENST00000478079.2	6867	1169	0.39886	7.29559154510498	1	1	coding
ENST00000653259.1	2036	81	0.32759	9.556744956970213	1	0.0651425	noncoding
ENST00000671314.1	1539	36	0.38098999999999994	9.696061134338382	1	0.0158869	noncoding
ENST00000005082.13	2021	607	0.43937999999999994	8.42474460601807	1	1	coding
ENST00000354599.10	2970	558	0.39927	8.531310844421387	1	1	coding
ENST00000429541.6	2389	562	0.41528000000000004	8.531310844421387	1	1	coding
ENST00000525502.5	546	146	0.43114	7.619403266906739	-1	0.10729	noncoding
ENST00000526601.5	2008	611	0.44631	8.42474460601807	1	1	coding
ENST00000649622.1	9943	531	0.31255	8.606352043151858	1	1	coding
ENST00000355619.10	3506	429	0.37826000000000004	6.414473533630371	1	1	coding
ENST00000477982.2	3172	76	0.33414	6.227245903015137	1	0.0659449	noncoding
ENST00000485797.2	527	54	0.38347000000000003	7.800045967102052	1	0.026505	noncoding
ENST00000356798.11	5129	1171	0.46322	5.398817634582519	1	1	coding
ENST00000563615.5	575	142	0.46736	5.095126914978027	-1	0.131497	noncoding
ENST00000678203.1	5711	1074	0.45308	5.204314613342285	1	1	coding
ENST00000678574.1	2334	180	0.39017	5.010721015930175	1	0.994601	coding
ENST00000679323.1	2603	300	0.44104	4.999069023132324	1	0.999999	coding
ENST00000371335.4	4030	411	0.35395000000000004	5.429453849792479	1	1	coding
ENST00000486593.5	1069	175	0.46321	8.423777580261234	1	0.990949	coding
ENST00000706600.1	2893	455	0.38885000000000003	5.914688301086425	1	1	coding
ENST00000358607.11	767	202	0.4142	6.467959022521971	1	0.997657	coding
ENST00000597371.1	1081	214	0.38416999999999996	10.159073066711425	1	0.981935	coding
ENST00000005257.7	2787	207	0.34624	6.659392738342286	1	0.987111	coding
ENST00000434466.1	768	153	0.4405	4.469329643249511	1	0.991174	coding
ENST00000648068.1	2256	423	0.41190000000000004	8.303995323181152	1	1	coding
ENST00000650547.1	2472	423	0.41775	8.303995323181152	1	1	coding
ENST00000275575.11	4541	696	0.3962	9.30473804473877	1	1	coding
ENST00000307305.12	4793	748	0.3962	9.165099525451662	1	1	coding
ENST00000424760.5	1977	547	0.50058	7.960959053039551	1	1	coding
ENST00000468351.1	305	51	0.46196	10.016791343688965	1	0.0972709	noncoding
ENST00000470215.1	606	191	0.44082999999999994	9.336649894714355	1	0.993122	coding
ENST00000264042.8	4009	1055	0.44712999999999997	8.959896659851076	1	1	coding
ENST00000413432.2	6065	437	0.31669	4.520882606506347	1	1	coding
ENST00000479427.5	839	63	0.32664000000000004	5.5198278427124015	1	0.0424056	noncoding
ENST00000485051.1	575	72	0.45994999999999997	10.28098278045654	-1	0.121825	noncoding
ENST00000627550.2	2122	639	0.46240000000000003	9.013985633850098	1	1	coding
ENST00000275428.9	1158	189	0.37573	5.067389488220214	1	0.995418	coding
ENST00000440082.5	1012	86	0.32641000000000003	4.974571418762206	1	0.17478	noncoding
ENST00000403825.8	3269	452	0.4362	6.804957389831543	1	1	coding
ENST00000421296.1	1034	90	0.40642999999999996	5.882915306091308	-1	0.0395447	noncoding
ENST00000466459.5	555	153	0.42816999999999994	5.8605775833129865	1	0.971615	coding
ENST00000265745.13	769	210	0.44009	5.545803260803221	1	0.999547	coding
ENST00000310301.9	5854	855	0.43433	5.563991737365721	1	1	coding
ENST00000395969.6	3181	830	0.48113999999999996	5.632425880432128	1	1	coding
ENST00000414632.5	548	177	0.45285	5.617931938171386	-1	0.184103	noncoding
ENST00000439468.1	354	107	0.44412	4.65439739227295	1	0.808862	coding
ENST00000482217.1	951	168	0.45002000000000003	5.616056251525879	-1	0.15861	noncoding
ENST00000338034.9	3767	827	0.436	8.125869178771975	1	1	coding
ENST00000395962.6	2924	808	0.47262000000000004	8.266410255432131	1	1	coding
ENST00000426905.7	2671	787	0.47463	8.245844841003418	1	1	coding
ENST00000583371.5	479	122	0.4211	7.921375465393067	-1	0.0850989	noncoding
ENST00000609101.5	866	242	0.43931	6.759884071350098	-1	0.331626	noncoding
ENST00000445755.7	987	224	0.4238	9.53721103668213	1	0.997927	coding
ENST00000596123.1	580	136	0.43185	9.662602043151857	-1	0.164306	noncoding
ENST00000407170.6	1691	166	0.39122999999999997	6.8939104080200195	1	0.954983	coding
ENST00000618577.4	451	47	0.40449	11.703606605529785	1	0.037312	noncoding
ENST00000397193.7	1277	240	0.42664	8.342096138000489	1	0.999533	coding
ENST00000397195.10	5589	411	0.32642	6.968540000915527	1	0.999999	coding
ENST00000609078.1	570	128	0.45207	5.704384040832521	1	0.902422	coding
ENST00000675084.1	762	74	0.35155000000000003	8.958478355407717	1	0.0580447	noncoding
ENST00000675430.1	957	208	0.47604	5.692788887023925	1	0.999503	coding
ENST00000675621.1	1563	347	0.46102000000000004	6.155003547668456	1	1	coding
ENST00000676188.1	5297	411	0.32484999999999997	6.968540000915527	1	0.999999	coding
ENST00000676456.1	1900	128	0.42018	5.704384040832521	1	0.870787	coding
ENST00000528896.7	7428	2236	0.45544999999999997	6.7088426589965815	1	1	coding
ENST00000579924.6	477	106	0.41719	5.909686470031737	-1	0.0510776	noncoding
ENST00000580395.1	577	127	0.44097000000000003	5.49595546722412	1	0.90063	coding
ENST00000581064.1	555	77	0.32717	9.806753349304199	1	0.0578391	noncoding
ENST00000583860.1	432	101	0.44594	4.899316596984862	1	0.703012	coding
ENST00000448893.1	901	211	0.3674	6.186662864685059	1	0.996131	coding
ENST00000482904.1	556	139	0.38604999999999995	10.892400932312011	-1	0.196582	noncoding
ENST00000486045.1	914	114	0.30911	5.391883277893067	1	0.402973	noncoding
ENST00000493647.1	935	104	0.34607	5.819085121154786	-1	0.0614305	noncoding
ENST00000293872.13	1434	372	0.37324999999999997	9.949421882629395	1	0.999977	coding
ENST00000337351.8	2097	326	0.34319	10.056761741638184	1	0.999	coding
ENST00000397783.5	1504	326	0.41242999999999996	10.056761741638184	1	0.999974	coding
ENST00000418978.5	989	187	0.42350999999999994	9.273148536682129	-1	0.219932	noncoding
ENST00000430864.5	695	182	0.39824	8.7298734664917	-1	0.178879	noncoding
ENST00000490762.5	2643	209	0.33770999999999995	5.981189918518066	1	0.99132	coding
ENST00000349606.4	2796	265	0.40334000000000003	8.136893272399902	1	0.999782	coding
ENST00000356840.8	3072	446	0.41923	6.901924705505372	1	1	coding
ENST00000262193.7	891	242	0.4400799999999999	8.274081993103028	1	0.999726	coding
ENST00000462957.1	1939	140	0.35111000000000003	7.816356468200684	-1	0.122241	noncoding
ENST00000401096.2	450	37	0.34536	9.09901943206787	-1	0.104949	noncoding
ENST00000404249.8	2984	781	0.45978	5.316969490051269	1	1	coding
ENST00000478901.1	931	77	0.43479	10.071911811828613	1	0.208606	noncoding
ENST00000479362.1	700	151	0.42261	9.559710502624512	-1	0.176351	noncoding
ENST00000489300.1	577	65	0.44628999999999996	10.843082618713382	1	0.161634	noncoding
ENST00000492390.5	976	137	0.40987	10.157654762268066	1	0.762164	coding
ENST00000498810.1	574	91	0.34096000000000004	6.648707008361817	1	0.127344	noncoding
ENST00000341426.9	3235	447	0.41948	6.032856559753417	1	1	coding
ENST00000341991.7	3098	447	0.42909	6.032856559753417	1	1	coding
ENST00000477235.5	1004	205	0.45611999999999997	5.034650230407714	-1	0.317502	noncoding
ENST00000492845.6	937	199	0.4577	8.084222602844239	1	0.997742	coding
ENST00000497615.1	534	105	0.46446	8.851654243469238	1	0.638415	coding
ENST00000350796.8	4482	400	0.3516	5.34658260345459	1	1	coding
ENST00000465320.1	576	29	0.42711	11.096959114074707	1	0.02373	noncoding
ENST00000466543.1	594	58	0.32686000000000004	7.634920310974121	1	0.0216178	noncoding
ENST00000495176.5	574	78	0.34998	11.35895862579346	1	0.0718305	noncoding
ENST00000455385.7	2130	242	0.35956	6.800069236755371	1	0.998598	coding
ENST00000460770.1	545	53	0.35019000000000006	6.692643547058106	1	0.020037	noncoding
