"ENSEMBL","SYMBOL","gene_type","strand","chrom","dBGLF5_Latent_c2-1","dBGLF5_Late_c2-1","dBGLF5_Latent_c2-2","dBGLF5_Late_c2-2","dBGLF5_Latent_c2-3","dBGLF5_Late_c2-3","log2FoldChange","pvalue","padj","dBGLF5_Latent_groupMean","dBGLF5_Late_groupMean","baseMean"
NA,"BALF1",NA,"-","chrEBV",15.1358557578064,2043.82192459036,17.5272651545968,2645.60469436346,6.09406127642172,2438.07146067911,7.42720365188308,3.36483801717953e-64,8.03725208783503e-62,12.9190607296083,2375.83269321098,1194.37587697029
NA,"BALF2",NA,"-","chrEBV",528.250719178204,31732.3382649617,318.463975487831,53071.7736035619,459.253412222892,64940.2255481571,6.79843641746131,6.58081328922397e-67,1.60397251251432e-64,435.322702296309,49914.7791388935,25175.0509205949
NA,"BALF3",NA,"-","chrEBV",66.1506328787614,6745.07748802152,57.1081175507125,9714.26723074214,109.859555104871,13377.1581449654,6.97116560534075,5.06932754932641e-63,1.18711723375697e-60,77.7061018447817,9945.50095457637,5011.60352821057
NA,"BALF4",NA,"-","chrEBV",69.7032480518247,73053.1943398672,28.5479287430413,90523.9594917593,61.0251694442501,82617.4833428496,10.5650149967506,2.53848817819974e-151,6.0634328624479e-148,53.0921154130387,82064.8790581587,41058.9855867859
NA,"BALF5",NA,"-","chrEBV",224.3772376259,35025.2020391524,94.4484339828973,39768.5518775878,164.789747269019,49976.2173750809,7.97399521093566,6.34808851252663e-88,2.16614917443159e-85,161.205139625939,41589.990430607,20875.5977851165
NA,"BaRF1",NA,"+","chrEBV",822.267238730069,25940.0343266297,742.320092367631,44895.2619723146,1222.10258151022,59712.4994460489,5.49324644303076,2.14727722670631e-41,3.6635617026505e-39,928.896637535973,43515.9319149978,22222.4142762669
NA,"BARF1",NA,"+","chrEBV",24.0604199629546,4950.27577874283,17.5363822333714,5709.46278310458,30.4796942022682,5789.24772961178,7.81426317548212,4.09284805643378e-93,1.52752763556214e-90,24.0254987995314,5482.99543048639,2753.51046464296
NA,"BART",NA,"+","chrEBV",3814.25945808947,19727.4480173889,3849.22236915912,20154.2024939648,11469.4908110833,21651.0772492618,1.54362033837759,0.000325883197511203,0.000377060940503419,6377.65754611062,20510.9092535385,13444.2833998246
NA,"BBLF1",NA,"-","chrEBV",0,33482.3888646508,0,35521.3177309302,0,28042.3987415644,19.0103806324105,1.80652037680549e-44,3.17283424414529e-42,0,32348.7017790485,16174.3508895242
NA,"BBLF2/3",NA,"-","chrEBV",849.724041844832,26206.6247803486,419.396747779951,43702.2433821501,669.714361650399,49986.6943545343,5.89753642004424,4.87209966901309e-48,9.0917947417224e-46,646.278383758394,39965.1875056777,20305.732944718
NA,"BBLF4",NA,"-","chrEBV",239.491588501181,17993.0755918763,180.070759605265,23471.3161585099,190.703148299904,25900.3068411669,6.75410282949167,1.26717490133232e-89,4.45113819017996e-87,203.42183213545,22454.8995305177,11329.1606813266
NA,"BBRF1",NA,"+","chrEBV",52.7275222527633,28170.8106122834,6.58824844894469,29749.9192062795,73.2319826917969,28767.9407243102,9.29054202728846,2.95097266663846e-58,6.40790301048421e-56,44.1825844645016,28896.223514291,14470.2030493778
NA,"BBRF2",NA,"+","chrEBV",9.81619671551811,6889.06284188974,6.58200472459435,8590.16249530799,3.04958283934177,8069.60511048064,10.1139142167773,1.18690690549591e-94,4.88801005942679e-92,6.48259475981807,7849.61014922613,3928.04637199297
NA,"BBRF3",NA,"+","chrEBV",133.027339214885,105194.793997517,66.9374588251228,138917.684401512,76.2536493553982,98315.1245443746,10.2120866856388,1.59773469256549e-151,4.77043635832742e-148,92.0728157984686,114142.534314468,57117.3035651332
NA,"BcLF1",NA,"-","chrEBV",228.834578354369,417142.722743604,73.5793513690876,424360.103025676,151.05408370788,377254.169012256,11.358925628014,1.53837980818898e-153,6.12429001640034e-150,151.156004477112,406252.331593845,203201.743799161
NA,"BcRF1",NA,"+","chrEBV",18.7702034752664,15506.5463562802,18.6684962397356,18853.0966940434,44.246889603456,18747.0371484125,9.3459220018085,4.82443449946794e-108,2.50514005335416e-105,27.2285297728193,17702.226732912,8864.72763134242
NA,"BCRF1",NA,"+","chrEBV",3.56259511880772,3977.49321545476,0,3593.95750922601,0,2932.61748075406,11.1232713658521,3.37801285031244e-42,5.84689963351905e-40,1.18753170626924,3501.35606847828,1751.27180009227
NA,"BDLF1",NA,"-","chrEBV",262.748815042715,465887.230028482,87.8443724767643,532296.763383646,244.108388624336,471110.001578441,11.2394354263847,5.4980488861863e-147,8.20789973096537e-144,198.233858714605,489764.664996856,244981.449427785
NA,"BDLF2",NA,"-","chrEBV",138.485526671996,330761.446309691,41.7185569410847,338948.429064862,67.1224944633847,251581.486296721,11.7905306068334,8.96161441290117e-149,1.52897944190398e-145,82.4421926921552,307097.120557091,153589.781374892
NA,"BDLF3",NA,"-","chrEBV",100.731768613422,63122.0494674445,40.5611375983055,76442.5159666602,54.869895268621,65082.7350232996,9.98059554311155,1.41431301501015e-131,1.29931848755894e-128,65.3876004934496,68215.7668191348,34140.5772098141
NA,"BDLF3.5",NA,"-","chrEBV",493.397122747796,68483.4153731846,198.76690571512,77867.5960083085,186.143404453047,97858.5444138049,8.07102443664991,3.67509737110591e-74,1.02073692797949e-71,292.769144305321,81403.1852650994,40847.9772047023
NA,"BDLF4",NA,"-","chrEBV",0,6111.42925409217,0,4125.15398684222,83.9156342175023,436.856420273514,0.472157465433947,0.00964871937267069,0.0104901825642063,27.9718780725008,3557.81322040263,1792.89254923757
NA,"BdRF1",NA,"+","chrEBV",20.5287786725238,34464.8245934807,3.29141906633888,47554.21858143,22.8736250098701,33922.7106668217,11.2457790579243,1.84143662570981e-107,9.16344900868845e-105,15.5646075829109,38647.2512805775,19331.4079440802
NA,"BFLF1",NA,"-","chrEBV",434.294682341128,50668.3780142205,360.137633709482,60614.2275114441,492.773722170491,57511.7393974711,7.00909013077933,1.59680209715864e-108,9.08124164112649e-106,429.068679407034,56264.7816410452,28346.9251602261
NA,"BFLF2",NA,"-","chrEBV",1087.28494651235,169776.109512184,538.744543582413,203732.1599047,501.722444633815,169080.643593304,7.95617165774714,1.02071457981286e-89,3.69405885657726e-87,709.250644909527,180862.971003396,90786.1108241527
NA,"BFRF0.5",NA,"+","chrEBV",1703.56133655294,75969.9141229061,1034.43146314632,86153.4420149569,1216.01035296666,101062.577178818,6.01712266075595,2.44937299003793e-68,6.09434617083813e-66,1318.00105088864,87728.6444388937,44523.3227448912
NA,"BFRF1",NA,"+","chrEBV",0,145307.598972273,0,180743.272401453,0,156909.921913501,21.4771458743213,9.66389295234824e-57,1.98992885396371e-54,0,160986.931095742,80493.4655478711
NA,"BFRF3",NA,"+","chrEBV",225.497035199714,69244.8314604056,124.959519030974,85694.7849797288,124.973791915418,66087.9479847188,8.82905943716978,1.01451472925432e-122,8.07756627432289e-120,158.476782048702,73675.8548082844,36917.1657951665
NA,"BGLF1",NA,"-","chrEBV",0,16918.514844536,0,24386.1953349573,0,13616.7039482328,18.1190684173048,1.10739082024487e-39,1.83688452308118e-37,0,18307.1380425753,9153.56902128767
