"ENSEMBL","SYMBOL","gene_type","strand","chrom","dBGLF5_Latent_c2-1","dBGLF5_Early_c2-1","dBGLF5_Latent_c2-2","dBGLF5_Early_c2-2","dBGLF5_Latent_c2-3","dBGLF5_Early_c2-3","log2FoldChange","pvalue","padj","dBGLF5_Latent_groupMean","dBGLF5_Early_groupMean","baseMean"
NA,"BALF1",NA,"-","chrEBV",16.391068925971,2055.56617560267,18.7909452492781,1737.62291624032,6.65396096632825,2108.09834508042,7.0445116824975,5.14111627351616e-71,1.12647569904154e-68,13.9453250471925,1967.0958123078,990.520568677498
NA,"BALF2",NA,"-","chrEBV",569.55203422518,99518.1788665507,339.928671328746,75180.7254232492,499.250878771817,108356.485145524,7.62638857433389,2.16102718809415e-131,3.65275338421857e-128,469.577194775248,94351.7964784414,47410.6868366083
NA,"BALF3",NA,"-","chrEBV",71.3135044457207,20459.4812202588,60.9494504601503,11397.4210432246,119.412213032865,21825.2591137132,7.71932235513088,2.35300331682151e-98,8.43658643776731e-96,83.8917226462454,17894.0537923989,8988.97275752256
NA,"BALF4",NA,"-","chrEBV",75.1712283721056,39602.1888430629,30.47946989463,27307.5922524534,66.3560859463883,35370.8965207382,9.18846527755715,2.79512373911424e-142,1.10239680270666e-138,57.335594737708,34093.5592054182,17075.4474000779
NA,"BALF5",NA,"-","chrEBV",241.887513766418,34936.6825768353,100.80070956996,16345.9928913116,179.117482754943,35492.0962580592,7.33760236325429,2.33014133773671e-78,5.40592790354916e-76,173.935235363774,28924.9239087353,14549.4295720496
NA,"BaRF1",NA,"+","chrEBV",886.618921951219,111788.39811018,792.408997944819,95874.0436550621,1328.63229867537,153197.6328461,6.87969034122908,7.52808664425281e-101,2.96907737249331e-98,1002.55340619047,120286.691537114,60644.6224716521
NA,"BARF1",NA,"+","chrEBV",26.0295582132121,3066.10703851289,18.781824185634,3061.91889898155,33.2466074009718,3341.74770860764,6.91037479135622,7.2862919674694e-89,2.00491643160693e-86,26.0193299332726,3156.59121536736,1591.30527265032
NA,"BART",NA,"+","chrEBV",4112.10729814239,5832.69624538564,4108.29273564112,4176.10140048551,12467.2733058428,7284.38106687042,-0.219216216410538,0.543988389227475,0.563317925900532,6895.89111320876,5764.39290424719,6330.14200872797
NA,"BBLF1",NA,"-","chrEBV",0,1122.44906702609,0,2963.37996164904,0,620.729721892901,13.9892274721415,1.75395252796266e-16,2.14831949387725e-15,0,1568.85291685601,784.426458428006
NA,"BBLF2/3",NA,"-","chrEBV",916.525929625587,137577.744865902,447.843301265153,93367.3212704136,728.332346348122,114491.869657105,7.33834370711656,1.5800314989775e-107,8.12823160691384e-105,697.567192412954,115145.645264473,57921.6062284431
NA,"BBLF4",NA,"-","chrEBV",258.280837230542,55055.8226235295,192.255729684613,35974.290793184,207.363788920557,49412.4080355133,7.71701963350713,9.10371488005881e-142,2.69287886152139e-138,219.300118611904,46814.1738174089,23516.7369680104
NA,"BBRF1",NA,"+","chrEBV",56.8598720535071,8058.84576233583,7.03351887205662,5131.11981684918,79.6237161332335,6505.71379295087,7.05004638287748,2.58855731660084e-45,4.71197079538786e-43,47.8390356862657,6565.22645737862,3306.53274653245
NA,"BBRF2",NA,"+","chrEBV",10.6028139335662,3316.88857424809,7.03834013902959,2457.66382887607,3.32117269010659,2903.3901811382,8.55947599061647,1.22180502337174e-77,2.7800763531797e-75,6.98744225423414,2892.64752808745,1449.81748517084
NA,"BBRF3",NA,"+","chrEBV",143.612027114083,37934.1245430539,71.5407194135726,30278.3148663319,83.0010672705966,27230.7935455261,8.28936584528783,1.46931845607048e-130,2.17312199652823e-127,99.3846045994174,31814.4109849706,15956.897794785
NA,"BcLF1",NA,"-","chrEBV",246.70756016378,78214.680265813,78.5327739198039,45326.1439163774,164.19745266609,57460.9238113525,8.51453533670298,2.0370263604754e-103,9.2700368835173e-101,163.145928916558,60333.9159978476,30248.5309633821
NA,"BcRF1",NA,"+","chrEBV",20.2379056664831,17526.1331738727,19.9269163401604,10834.2960325629,48.100818808398,15698.3782825828,8.97697394372701,2.07747371390653e-117,1.75576207021014e-114,29.4218802716805,14686.2691630061,7357.8455216389
NA,"BCRF1",NA,"+","chrEBV",3.85660252346598,594.230995416214,0,503.326008980551,0,422.285575988244,8.18407674583528,1.63050644042576e-24,1.85501463491515e-22,1.28553417448866,506.61419346167,253.949863818079
NA,"BDLF1",NA,"-","chrEBV",283.335011328851,98788.7663139413,93.7794315391484,58671.0873727522,265.408798959161,69177.1101074531,8.43020130515869,1.94743883739731e-100,7.43293429809192e-98,214.174413942387,75545.6545980489,37879.9145059956
NA,"BDLF2",NA,"-","chrEBV",149.382198923913,62047.8796809476,44.551046783674,40285.8637017962,73.0021556841314,40437.2201868276,9.01852545212062,2.62993926073164e-110,1.48178292061794e-107,88.9784671305727,47590.3211898571,23839.6498284938
NA,"BDLF3",NA,"-","chrEBV",108.935214528758,22802.5647460111,43.4256307188807,19930.7034613962,59.828635889607,18466.0811980914,8.12975342261488,3.60927050384079e-114,2.51205227067319e-111,70.7298270457486,20399.7831351662,10235.256481106
NA,"BDLF3.5",NA,"-","chrEBV",531.966670686013,129555.807180874,212.161248212232,102885.885097101,202.352511600623,138536.504857496,8.58893726062834,3.44388029522156e-111,2.14463113963481e-108,315.493476832956,123659.399045157,61987.446260995
NA,"BdRF1",NA,"+","chrEBV",22.169013778193,8255.08066371749,3.51884887580367,7350.52925757187,24.9052779935703,7517.8631231487,8.81999436990536,2.51873201909508e-95,8.76518742645089e-93,16.8643802158557,7707.82434814602,3862.34436418094
NA,"BFLF1",NA,"-","chrEBV",468.37587046554,50921.0814747011,384.514465220912,41013.9076219364,535.834506565718,48633.0570662967,6.63878377103411,4.26710985917525e-120,3.88372645028935e-117,462.908280750723,46856.0153876447,23659.4618341977
NA,"BFLF2",NA,"-","chrEBV",1173.97459579799,117511.303462567,575.880512748545,98349.2754630865,546.200369260365,104075.368008034,7.08947129697011,5.5719039507826e-94,1.83129909849055e-91,765.351825935633,106645.315644562,53705.333735249
NA,"BFRF0.5",NA,"+","chrEBV",1836.83826151608,151416.677219993,1104.20329302005,115854.966649815,1321.97593875715,160189.724933765,6.61621812451951,1.46419326872217e-102,5.97390853638644e-100,1421.00583109776,142487.122934524,71954.0643828111
NA,"BFRF1",NA,"+","chrEBV",0,53952.7965303473,0,24536.8789265106,0,29406.266118636,19.0574384840282,1.80579641838088e-44,3.14208576798273e-42,0,35965.313858498,17982.656929249
NA,"BFRF3",NA,"+","chrEBV",243.903822681961,19102.6080855783,133.807756743937,16245.8626035066,136.291839743156,15030.7576466169,6.57804155765193,8.62115224047187e-90,2.42870174545865e-87,171.334473056351,16793.0761119006,8482.20529247848
NA,"BGLF1",NA,"-","chrEBV",0,14148.607484337,0,5009.68256812742,0,6192.31825178819,16.734275560274,4.6680830902086e-34,7.56613138676002e-32,0,8450.20276808421,4225.1013840421
