"ENSEMBL","SYMBOL","gene_type","strand","chrom","WT_Latent_c3-1","WT_Late_c3-1","WT_Latent_c3-2","WT_Late_c3-2","WT_Latent_c3-3","WT_Late_c3-3","WT_Latent_c4-1","WT_Late_c4-1","WT_Latent_c4-2","WT_Late_c4-2","log2FoldChange","pvalue","padj","WT_Latent_groupMean","WT_Late_groupMean","baseMean"
"ENSG00000000419","DPM1","protein_coding","-","chr20",1.66965697274646,2.17064347449933,4.66388537314826,2.34149191316995,7.70846198667876,7.76394842652125,1.46218770713298,5.10499202057945,0,5.74320626790686,0.363893830748294,0.480343935924249,0.688081104354511,3.10083840794129,4.62485642053537,3.86284741423833
"ENSG00000000457","SCYL3","protein_coding","-","chr1",1.66965697274646,5.78838259866488,0,3.12198921755993,0,9.17557541316148,1.46218770713298,2.83610667809969,2.94159668516872,5.74320626790686,1.46406535805033,0.0343506002706,0.119265016429049,1.21468827300963,5.33305203507857,3.2738701540441
"ENSG00000000460","FIRRM","protein_coding","+","chr1",3.33931394549292,5.78838259866488,3.10925691543217,3.90248652194991,1.54169239733575,11.2930158931218,1.46218770713298,1.13444267123988,1.47079834258436,3.13265796431283,0.760739633948662,0.175327004232083,0.366304474696026,2.18464986159564,5.05019712985786,3.61742349572675
"ENSG00000000938","FGR","protein_coding","-","chr1",3.33931394549292,0.72354782483311,12.4370276617287,3.90248652194991,12.333539178686,1.41162698664023,8.77312624279789,2.26888534247975,0,1.04421932143761,-1.51767915199445,0.016267342217294,0.0684900267719263,7.3766014057411,1.87015319946812,4.62337730260461
"ENSG00000001036","FUCA2","protein_coding","-","chr6",0,3.61773912416555,13.9916561194448,12.4879568702397,9.25015438401451,14.1162698664023,11.6975016570639,1.70166400685981,7.3539917129218,3.13265796431283,-0.194094333091395,0.687941168398124,0.835516212019395,8.45866077468899,7.01125756639604,7.73495917054251
"ENSG00000001167","NFYA","protein_coding","+","chr6",0,0.72354782483311,1.55462845771609,0,0,1.41162698664023,0,1.13444267123988,0,0,0.179212759724225,0.758255079911976,NA,0.310925691543217,0.653923496542643,0.48242459404293
"ENSG00000001461","NIPAL3","protein_coding","+","chr1",0,10.1296695476635,7.77314228858043,30.4393948712093,4.62507719200726,23.2918452795637,2.92437541426596,12.4788693836386,1.47079834258436,3.13265796431283,1.84596436097077,0.00337079455443869,0.0204311425034345,3.3586786474876,15.8944874092776,9.62658302838261
"ENSG00000001497","LAS1L","protein_coding","-","chrX",0,0.72354782483311,0,0.780497304389982,0,2.11744047996034,0,0,0,0,0.369141682899446,0.581080840401569,NA,0,0.724297121836686,0.362148560918343
"ENSG00000001561","ENPP4","protein_coding","+","chr6",0,0,0,3.12198921755993,0,2.11744047996034,0,1.13444267123988,0,0.522109660718806,0.808791911395105,0.209229871654495,NA,0,1.37919640589579,0.689598202947895
"ENSG00000001626","CFTR","protein_coding","+","chr7",1.66965697274646,31.8361042926568,3.10925691543217,16.3904433921896,3.0833847946715,18.351150826323,0,5.67221335619938,1.47079834258436,4.17687728575044,2.62149664703713,0.000375799273010466,0.00346084911888708,1.8666194050869,15.2853578306238,8.57598861785537
