"ENSEMBL","SYMBOL","gene_type","strand","chrom","dBGLF5_Latent_c2-1","dBGLF5_Late_c2-1","dBGLF5_Latent_c2-2","dBGLF5_Late_c2-2","dBGLF5_Latent_c2-3","dBGLF5_Late_c2-3","log2FoldChange","pvalue","padj","dBGLF5_Latent_groupMean","dBGLF5_Late_groupMean","baseMean"
"ENSG00000000457","SCYL3","protein_coding","-","chr1",12.9755217472586,64.7490957844244,30.1735100918576,60.3916839818332,29.5572873808122,82.6272228839311,1.41268909014345,0.000189499368411876,0.000309864261912028,24.2354397399761,69.2560008833962,46.7457203116862
"ENSG00000000460","FIRRM","protein_coding","+","chr1",399.646069815564,173.318286695681,357.771619660598,171.884023640602,435.581077190916,280.367585341202,-0.847826992690566,0.0114208501526763,0.0153921712157889,397.666255555693,208.523298559162,303.094777057427
"ENSG00000002919","SNX11","protein_coding","+","chr17",84.3408913571806,9.15643778769638,89.083696461675,30.1958419909166,121.340442931755,51.5537373549313,-1.53786698646282,0.000401039179979587,0.000629844102968839,98.2550102502036,30.3020057111814,64.2785079806925
"ENSG00000003756","RBM5","protein_coding","+","chr3",19.4632826208878,26.8152820925394,14.3683381389798,38.7126179370726,32.6685807893187,70.6215580204539,0.910125862714328,0.0236951110338292,0.0309275778507012,22.1667338497288,45.3831526833553,33.774943266542
"ENSG00000004142","POLDIP2","protein_coding","-","chr17",62.2825043868411,39.8959075035342,76.1521921365931,27.8730849146922,77.7823352126637,70.6215580204539,-0.563311473817339,0.111337382847503,0.134034259791622,72.0723439120326,46.1301834795601,59.1012636957964
"ENSG00000004455","AK2","protein_coding","-","chr1",62.2825043868411,12.4265941404451,51.7260173003274,19.3563089685363,77.7823352126637,22.5988985665452,-1.71429301374243,3.66261382670265e-06,7.57662599890679e-06,63.9302856332774,18.1272672251755,41.0287764292265
"ENSG00000004766","VPS50","protein_coding","+","chr7",1.29755217472586,244.607695185603,5.74733525559193,235.372717057401,1.55564670425327,316.384579931633,6.40448532743008,3.63664991976904e-21,3.73933179985664e-19,2.86684471152369,265.454997391546,134.160921051535
"ENSG00000005812","FBXL3","protein_coding","-","chr13",3.89265652417757,39.2418762329845,11.4946705111839,51.1006556769358,9.33388022551964,62.1469710579994,2.499062001103,1.02724309628464e-07,2.83668393729154e-07,8.24040242029369,50.8298343226399,29.5351183714668
"ENSG00000006715","VPS41","protein_coding","-","chr7",33.7363565428723,19.6209381164922,34.4840115335516,12.3880377398632,37.3355209020785,28.9548387883861,-0.694216246299218,0.0547404076218195,0.068249809217504,35.1852963261675,20.3212715482472,27.7532839372073
"ENSG00000007080","CCDC124","protein_coding","+","chr19",3.89265652417757,47.0902514795814,5.74733525559193,109.943834941286,6.22258681701309,76.2712826620902,3.73720652355292,1.95282731391018e-11,1.25497872967463e-10,5.28752619892753,77.7684563609859,41.5279912799567
"ENSG00000007341","ST7L","protein_coding","-","chr1",6.48776087362928,19.6209381164922,5.74733525559193,27.8730849146922,6.22258681701309,30.3672699487952,1.89078011997133,8.43387165276602e-05,0.000143968824697607,6.1525609820781,25.9537643266599,16.053162654369
"ENSG00000007384",NA,NA,NA,NA,900.501209259744,49.7063765617803,839.110947316422,117.686358528701,840.049220296767,180.791188532362,-2.76443378951739,5.53248467837604e-10,2.54494295205298e-09,859.887125624311,116.061307874281,487.974216749296
"ENSG00000007944","MYLIP","protein_coding","+","chr6",72.6629217846479,3.92418762329845,48.8523496725314,3.0970094349658,90.2275088466898,4.94350906143177,-4.02519392420271,2.60663934287196e-16,6.3283410713058e-15,70.5809267679564,3.98823537323201,37.2845810705942
"ENSG00000008952","SEC62","protein_coding","+","chr3",3.89265652417757,187.052943377226,18.6788395806738,171.109771281861,14.0008203382795,408.192605358223,4.28755264792524,2.13964266844156e-16,5.42042809338528e-15,12.1907721477103,255.451773339103,133.821272743407
"ENSG00000010030","ETV7","protein_coding","-","chr6",64.8776087362928,2.61612508219897,123.567707995227,9.29102830489741,79.3379819169169,10.5932337030681,-3.47505960686298,5.60852852437317e-14,6.90401962014387e-13,89.2610995494788,7.50012903005482,48.3806142897668
"ENSG00000010072","SPRTN","protein_coding","+","chr1",81.7457870077289,12.4265941404451,86.210028833879,15.485047174829,108.895269297729,36.723210170636,-1.97495809815632,1.01439531919425e-06,2.29387195077819e-06,92.2836950464457,21.5449504953034,56.9143227708745
"ENSG00000010244","ZNF207","protein_coding","+","chr17",795.39948310695,31.3935009863876,580.480860814785,40.2611226545555,1300.52064475574,132.768529078453,-3.56588581440579,7.77554053877982e-12,5.54761014766822e-11,892.13366289249,68.1410509064655,480.137356899478
"ENSG00000010310","GIPR","protein_coding","+","chr19",89.5311000560841,12.4265941404451,91.9573640894709,24.001823120985,108.895269297729,20.4802518259316,-2.26433867895016,7.80856738008712e-10,3.45553817225121e-09,96.794577814428,18.9695563624539,57.882067088441
"ENSG00000011198","ABHD5","protein_coding","+","chr3",44.1167739406791,158.275567473037,14.3683381389798,263.245801972093,28.0016406765589,437.853659726814,3.18275780280374,1.43248808999639e-11,9.41349316283345e-11,28.828917585406,286.458343057315,157.64363032136
"ENSG00000011454","RABGAP1","protein_coding","+","chr9",16.8681782714361,100.06678439411,20.1156733945718,113.040844376252,40.4468143105851,195.621715716657,2.29106299219835,5.30497214881858e-08,1.5302130884711e-07,25.8102219921977,136.243114829007,81.0266684106021
"ENSG00000011478","QPCTL","protein_coding","+","chr19",77.8531304835514,39.2418762329845,74.7153583226951,41.8096273720384,99.5613890722095,38.1356413310451,-1.00008166095324,0.00190350143007776,0.00279371998301924,84.043292626152,39.7290483120226,61.8861704690873
"ENSG00000012817","KDM5D","protein_coding","-","chrY",236.154495800106,28.7773759041886,195.409398690126,48.00364624197,312.684987554908,101.695043549454,-1.91986056654788,6.34273267699902e-06,1.26133068480026e-05,248.082960681713,59.4920218985374,153.787491290125
"ENSG00000022840","RNF10","protein_coding","+","chr12",24.6534913197913,100.06678439411,14.3683381389798,120.783367963666,34.224227493572,201.977655938498,2.41708239191516,8.02726686702292e-09,2.77854702644675e-08,24.4153523174477,140.942602765425,82.6789775414363
"ENSG00000023902","PLEKHO1","protein_coding","+","chr1",350.339087175981,137.346566815446,293.114098035189,144.01093872591,354.687448569746,185.028482013589,-1.01898062041684,0.00145963175841256,0.00218071479803859,332.713544593639,155.461995851648,244.087770222643
"ENSG00000023909","GCLM","protein_coding","-","chr1",22.0583869703396,28.1233446336389,25.8630086501637,27.0988325559508,24.8903472680524,48.0226594539086,0.44266611076861,0.215330045715504,0.250597150406592,24.2705809628519,34.4149455478328,29.3427632553423
"ENSG00000024048","UBR2","protein_coding","+","chr6",11.6779695725327,39.2418762329845,21.5525072084697,35.6156085021068,17.112113746786,62.1469710579994,1.32396885954496,0.000824305062559639,0.00126282668655061,16.7808635092628,45.6681519310302,31.2245077201465
"ENSG00000025293","PHF20","protein_coding","+","chr20",63.5800565615669,19.6209381164922,54.5996849281234,20.1305613272777,57.5589280573711,43.7853659726814,-0.966987294321868,0.00815158061527842,0.0111494232515702,58.5795565156871,27.8456218054838,43.2125891605855
"ENSG00000026103","FAS","protein_coding","+","chr10",36.331460892324,1.30806254109948,54.5996849281234,4.64551415244871,74.6710418041571,4.23729348122723,-3.90992616444639,1.01819221242129e-13,1.19449663578014e-12,55.2007292082015,3.39695672492514,29.2988429665633
"ENSG00000026751","SLAMF7","protein_coding","+","chr1",127.160113123134,23.5451257397907,86.210028833879,27.8730849146922,127.563029748768,42.3729348122723,-1.76364400714168,9.67964436163995e-07,2.1974049797593e-06,113.644390568594,31.2637151555851,72.4540528620894
"ENSG00000027869","SH2D2A","protein_coding","-","chr1",28.5461478439688,3.92418762329845,31.6103439057556,13.1622900986047,24.8903472680524,7.06215580204539,-1.69636130709926,6.37099792086856e-05,0.000110590907305643,28.3489463392589,8.04954450798284,18.1992454236209
"ENSG00000028116","VRK2","protein_coding","+","chr2",551.459674258489,62.1329707022254,590.538697512071,45.6808891657456,460.471424458969,73.446420341272,-3.0702048175334,1.04239459862992e-17,3.43793539321716e-16,534.156598743176,60.420093403081,297.288346073129
"ENSG00000029363","BCLAF1","protein_coding","-","chr6",127.160113123134,52.976532914529,97.7046993450629,51.1006556769358,119.784796227502,66.3842645392267,-0.939617943279844,0.00322694742593055,0.00463492530856746,114.883202898566,56.8204843768972,85.8518436377317
"ENSG00000031003","FAM13B","protein_coding","-","chr5",184.252408811072,63.4410332433249,215.525072084697,58.8431792643503,325.130161188934,122.175295375385,-1.44690815162143,0.000149137774107288,0.000246168866043003,241.635880694901,81.4865026276868,161.561191661294
"ENSG00000031691","CENPQ","protein_coding","+","chr6",16.8681782714361,45.7821889384819,17.2420057667758,57.2946745468674,15.5564670425327,74.8588515016811,1.71986307042068,1.17270542564288e-05,2.23299464490605e-05,16.5555503602482,59.3119049956768,37.9337276779625
"ENSG00000031698","SARS1","protein_coding","+","chr1",23.3559391450654,137.346566815446,21.5525072084697,153.301967030807,21.7790538595458,228.107632406066,2.86598057970513,5.15375379021852e-13,4.97721636757015e-12,22.2291667376937,172.918722084106,97.5739444109
"ENSG00000033327","GAB2","protein_coding","-","chr11",37.6290130670498,39.2418762329845,11.4946705111839,55.7461698293845,18.6677604510393,66.3842645392267,1.10625272383196,0.00520949764184286,0.00728496150235306,22.5971480097577,53.7907702005319,38.1939591051448
"ENSG00000035681","NSMAF","protein_coding","-","chr8",38.9265652417757,15.6967504931938,54.5996849281234,23.2275707622435,62.2258681701309,42.3729348122723,-0.826931476392301,0.0272131604439581,0.0351059811483681,51.91737278001,27.0990853559032,39.5082290679566
"ENSG00000035928","RFC1","protein_coding","-","chr4",15.5706260967103,77.8297211954192,14.3683381389798,69.6827122867306,28.0016406765589,112.994492832726,2.06530874869552,2.70935091887383e-07,6.84083959642308e-07,19.3135349707497,86.8356421049587,53.0745885378542
"ENSG00000036549","ZZZ3","protein_coding","-","chr1",29.8437000186947,11.1185315993456,28.7366762779597,13.1622900986047,40.4468143105851,26.8361920477725,-0.837951776517813,0.0270988028369049,0.0349842742680279,33.0090635357465,17.0390045819076,25.024034058827
"ENSG00000038210","PI4K2B","protein_coding","+","chr4",233.559391450654,44.4741263973824,196.846232504024,46.4551415244871,314.240634259161,85.4520852047492,-1.97116673774273,1.78943378073802e-07,4.69659196506015e-07,248.215419404613,58.7937843755396,153.504601890076
"ENSG00000038427","VCAN","protein_coding","+","chr5",2.59510434945171,22.8910944692409,2.87366762779597,14.7107948160876,1.55564670425327,33.8983478498179,3.05861944367791,6.97671861707092e-06,1.37955929215384e-05,2.34147289383365,23.8334123783821,13.0874426361079
"ENSG00000039123","MTREX","protein_coding","+","chr5",217.988765353944,113.801441075655,224.146074968085,72.7797217216964,334.464041414454,207.627380580134,-0.861293309196233,0.0237087839358922,0.0309275778507012,258.866293912161,131.402847792495,195.134570852328
"ENSG00000039537","C6","protein_coding","-","chr5",0,47.0902514795814,0,61.9401886993161,0,72.033989180863,8.530984297098,1.74339548225415e-10,9.04289407412541e-10,0,60.3548097865868,30.1774048932934
"ENSG00000042088","TDP1","protein_coding","+","chr14",14.2730739219844,24.8531882808902,10.0578366972859,37.9383655783311,20.2234071552925,21.1864674061362,0.802736286659582,0.039104836564298,0.0494253465758445,14.8514392581876,27.9926737551191,21.4220565066534
"ENSG00000044115","CTNNA1","protein_coding","+","chr5",12.9755217472586,52.3225016439793,20.1156733945718,72.7797217216964,9.33388022551964,84.7458696245447,2.17810981811305,1.81489399800505e-07,4.74205487072173e-07,14.1416917891167,69.9493643300735,42.0455280595951
"ENSG00000048405","ZNF800","protein_coding","-","chr7",28.5461478439688,1.30806254109948,51.7260173003274,4.64551415244871,59.1145747616244,16.9491739249089,-2.02034223569115,0.00541923314597985,0.00755408256712342,46.4622466353069,7.63425020615237,27.0482484207296
"ENSG00000048544","MRPS10","protein_coding","-","chr6",332.173356729819,92.2184091475135,321.850774313148,129.300143909822,413.802023331371,204.802518259316,-1.21732175915934,0.000768243910598604,0.00118212179201264,355.942051458113,142.107023772217,249.024537615165
"ENSG00000049541","RFC2","protein_coding","-","chr7",46.7118782901308,6.54031270549741,54.5996849281234,19.3563089685363,52.8919879446113,24.7175453071589,-1.47949221226021,0.00023587878188862,0.00038071663041672,51.4011837209552,16.8713889937309,34.136286357343
"ENSG00000050730","TNIP3","protein_coding","-","chr4",67.4727130857445,46.4362202090316,51.7260173003274,51.1006556769358,80.8936286211702,39.5480724914542,-0.48945088859283,0.129130390225198,0.154285661048288,66.697453002414,45.6949827924739,56.196217897444
"ENSG00000053371","AKR7A2","protein_coding","-","chr1",267.295747993526,43.1660638562829,281.619427524005,38.7126179370726,289.350286991109,64.2656177986131,-2.43790251081637,3.97835586739067e-12,3.07706462663668e-11,279.421820836213,48.7147665306562,164.068293683435
"ENSG00000053372","MRTO4","protein_coding","+","chr1",25.9510434945171,123.611910133901,38.7945129752455,198.208603837811,35.7798741978253,265.537058156907,2.44441152766799,1.21741853338954e-09,5.14021158542249e-09,33.508476889196,195.785857376206,114.647167132701
"ENSG00000053501","USE1","protein_coding","+","chr19",12.9755217472586,16.3507817637435,11.4946705111839,17.0335518923119,12.4451736340262,18.361605085318,0.414216682754495,0.273613019587778,0.313007564292824,12.3051219641562,17.2486462471245,14.7768841056403
"ENSG00000054523","KIF1B","protein_coding","+","chr1",51.9020869890342,9.15643778769638,40.2313467891435,29.4215896321751,98.0057423679562,49.4350906143177,-0.945751094118295,0.0284161463845299,0.036523105794234,63.3797253820447,29.3377060113964,46.3587156967205
"ENSG00000054654","SYNE2","protein_coding","+","chr14",264.700643644075,290.389884124085,242.824914548759,355.381832662326,348.464861752733,617.232417098767,0.493201341049802,0.166621418164941,0.195603921391751,285.330139981856,421.001377961726,353.165758971791
"ENSG00000054967","RELT","protein_coding","+","chr11",573.518061228828,34.0096260685865,551.744184536826,48.00364624197,1121.62127376661,125.706373276408,-3.2976631401092,1.73936494403584e-11,1.12607774895358e-10,748.961173177421,69.2398818623215,409.100527519871
"ENSG00000055044","NOP58","protein_coding","+","chr2",240.047152324283,22.2370631986912,225.582908781983,32.5185990671409,451.137544233449,42.3729348122723,-3.14385349785454,1.82504181077994e-14,2.68081771869187e-13,305.589201779905,32.3761990260348,168.98270040297
"ENSG00000055147","FAM114A2","protein_coding","-","chr5",1.29755217472586,31.3935009863876,11.4946705111839,39.486870295814,10.8895269297729,35.3107790102269,2.03586213875771,1.44621996607412e-05,2.72412984988962e-05,7.89391653856088,35.3970500974762,21.6454833180185
"ENSG00000056558","TRAF1","protein_coding","-","chr9",1445.4731226446,384.570387083248,1376.48679371427,563.655717163776,1407.86026734921,1182.2048812624,-0.873246424593133,0.0214274764635508,0.028098446255279,1409.94006123603,710.143661836474,1060.04186153625
